Rank,Species (50 CFR Part 17),Status,"FWSTotal","OtherFed","FedTotal","StatesTotal","SpeciesTotal"
,,,,,,,
,Crustaceans Subtotal,,"$52,000","$176,000","$228,000",$0,"$228,000"
,,,,,,,
,Flowering Plants,,,,,,
69.0,"Bird's beak, palmate-bracted(Cordylanthus palmatus)",E,$0,"$111,000","$111,000",$0,"$111,000"
90.0,"Blazingstar, Ash Meadows (Mentzelialeucophylla)",T,"$7,000",$0,"$7,000",$0,"$7,000"
97.0,"Blazingstar, scrub (Liatris ohlingerae)",E,"$2,033",$0,"$2,033",$0,"$2,033"
97.0,"Bonamia, Florida (Bonamia grandiflora)",T,"$2,033",$0,"$2,033",$0,"$2,033"
97.0,"Buckwheat, scrub (Eriogonum longifoliumvar. gnaphalifolium)",T,"$2,033",$0,"$2,033",$0,"$2,033"
85.0,"Bush-clover, prairie (Lespedezaleptostachya)",T,$0,$0,$0,"$25,000","$25,000"
84.0,"Button-celery, San Diego (Eryngiumaristulatum var. parishii)",E,"$26,000",$0,"$26,000",$0,"$26,000"
96.0,"Cactus, Uinta Basin hookless",T,$0,"$2,000","$2,000",$0,"$2,000"
,(Sclerocactus glaucus),,,,,,
58.0,"Catchfly, Spalding's (Silene spaldingii)",T,"$176,750",$0,"$176,750",$0,"$176,750"
90.0,"Centaury, spring-loving (Centauriumnamophilum)",T,"$7,000",$0,"$7,000",$0,"$7,000"
48.0,"Checker-mallow, Nelson's (Sidalceanelsoniana)",T,"$85,386","$168,985","$254,371",$0,"$254,371"
18.0,"Coneflower, smooth (Echinacea laevigata)",E,$0,$0,$0,"$1,686,100","$1,686,100"
73.0,"Daisy, Willamette (Erigeron decumbensvar. decumbens)",E,"$68,667",$0,"$68,667",$0,"$68,667"
97.0,"Fringe-tree, pygmy (Chionanthuspygmaeus)",E,"$2,033",$0,"$2,033",$0,"$2,033"
72.0,"Grass, Colusa (Neostapfia colusana)",T,$0,"$70,000","$70,000",$0,"$70,000"
68.0,"Grass, Solano (Tuctoria mucronata)",E,$0,"$112,000","$112,000",$0,"$112,000"
90.0,"Gumplant, Ash Meadows (Grindeliafraxino-pratensis)",T,"$7,000",$0,"$7,000",$0,"$7,000"
39.0,"Iris, dwarf lake (Iris lacustris)",T,$0,$0,$0,"$474,000","$474,000"
25.0,"Irisette, white (Sisyrinchium dichotomum)",E,$0,$0,$0,"$1,325,000","$1,325,000"
90.0,"Ivesia, Ash Meadows (Ivesia kingii var.eremica)",T,"$7,000",$0,"$7,000",$0,"$7,000"
65.0,Kamanomano (Cenchrus agrimonioides),E,"$128,179",$0,"$128,179",$0,"$128,179"
77.0,"Leather flower, Alabama (Clematissocialis)",E,$0,$0,$0,"$50,000","$50,000"
49.0,"Lupine, Kincaid's (Lupinus sulphureus(=oreganus) ssp. kincaidii (=var.kincaidii))",T,"$85,385","$168,985","$254,370",$0,"$254,370"
84.0,"Mesa-mint, Otay (Pogogyne nudiuscula)",E,"$26,000",$0,"$26,000",$0,"$26,000"
84.0,"Mesa-mint, San Diego (Pogogyneabramsii)",E,"$26,000",$0,"$26,000",$0,"$26,000"
90.0,"Milk-vetch, Ash meadows (Astragalusphoenix)",T,"$7,000",$0,"$7,000",$0,"$7,000"
97.0,"Mint, Garrett's (Dicerandra christmanii)",E,"$2,033",$0,"$2,033",$0,"$2,033"
83.0,"Monkshood, northern wild (Aconitumnoveboracense)",T,"$21,252",$0,"$21,252","$16,100","$37,352"
90.0,"Niterwort, Amargosa (Nitrophilamohavensis)",E,"$7,000",$0,"$7,000",$0,"$7,000"
65.0,Bonamia menziesii (=Sci name),E,"$128,179",$0,"$128,179",$0,"$128,179"
66.0,Mariscus pennatiformis (=Sci name),E,"$128,178",$0,"$128,178",$0,"$128,178"
66.0,Vigna o-wahuensis (=Sci name),E,"$128,178",$0,"$128,178",$0,"$128,178"
66.0,Ohai (Sesbania tomentosa),E,"$128,178",$0,"$128,178",$0,"$128,178"
57.0,"Orchid, western prairie fringed(Platanthera praeclara)",T,"$179,450",$0,"$179,450",$0,"$179,450"
81.0,"Orcutt grass, hairy (Orcuttia pilosa)",E,$0,"$42,000","$42,000",$0,"$42,000"
97.0,Pigeon wings (Clitoria fragrans),T,"$2,033",$0,"$2,033",$0,"$2,033"
35.0,"Pink, swamp (Helonias bullata)",T,$0,$0,$0,"$650,000","$650,000"
97.0,"Plum, scrub (Prunus geniculata)",E,"$2,033",$0,"$2,033",$0,"$2,033"
29.0,Pondberry (Lindera melissifolia),E,$0,"$920,000","$920,000","$128,650","$1,048,650"
86.0,"Roseroot, Leedy's (Sedum integrifoliumssp. leedyi)",T,"$21,252",$0,"$21,252",$0,"$21,252"
81.0,"Spurge, Hoover's (Chamaesyce hooveri)",T,$0,"$42,000","$42,000",$0,"$42,000"
32.0,"Sunburst, Hartweg's golden (Pseudobahiabahiifolia)",E,$0,"$1,007,500","$1,007,500",$0,"$1,007,500"
90.0,"Sunray, Ash Meadows (Enceliopsisnudicaulis var. corrugata)",T,"$7,000",$0,"$7,000",$0,"$7,000"
78.0,"Water-umbel, Huachuca (Lilaeopsisschaffneriana var. recurva)",E,$0,"$48,000","$48,000",$0,"$48,000"
97.0,"Whitlow-wort, papery (Paronychiachartacea)",T,"$2,033",$0,"$2,033",$0,"$2,033"
97.0,Wireweed (Polygonella basiramia),E,"$2,033",$0,"$2,033",$0,"$2,033"
,,,,,,,
,Flowering Plants Subtotal,,"$1,424,331","$2,692,470","$4,116,801","$4,354,850","$8,471,651"
,,,,,,,
,Total Land Expenditures for FY2006,,"$46,092,666","$62,258,932","$108,351,598","$8,920,947","$117,272,545"
,,,,,,,
,Other ESA Expenses,,"$40,000","$3,992,500","$4,032,500","$4,977,796","$9,010,296"
,,,,,,,
,"Total Land/Other ESA Land Expendituresfor FY2006",,"$46,132,666","$66,251,432","$112,384,098","$13,898,743","$126,282,841"
