GENERAL RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"FWSTOTAL",Other FED,FED TOTAL,"STATESTOTAL","SPECIES TOTAL($000)","LANDRANK"
1140.0,"Mustard, Carter's",Warea carteri,E,0.53,0.00,0.53,0.00,0.53,117.0
361.0,"Ziziphus, Florida",Ziziphus celata,E,0.53,0.00,0.53,0.00,0.53,122.0
,,,,,,,,,
,,,,,,,,,
,TOTAL,,,"53,684.42","17,720.01","71,404.43","14,704.86","86,109.29",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
