Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,149.0,,"oodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia)",,E,,"$1,094,184",,"$1,233,304,219"
,150.0,,"ider, spectacled (Somateria fischeri)",,T,,"$1,062,000",,"$1,234,366,219"
,151.0,,"kink, sand (Neoseps reynoldsi)",,T,,"$1,059,474",,"$1,235,425,693"
,152.0,,"arter, Okaloosa (Etheostoma okaloosae)",,E,,"$1,058,016",,"$1,236,483,709"
,153.0,,"lover, piping (Charadrius melodus) - Great Lakes watershed",,E,,"$1,046,182",,"$1,237,529,891"
,154.0,,"hiner, Pecos bluntnose (Notropis simus pecosensis)",,T,,"$1,028,772",,"$1,238,558,663"
,155.0,,"row, Mariana (=aga) (Corvus kubaryi)",,E,,"$1,026,915",,"$1,239,585,578"
,156.0,,"heep, Peninsular bighorn (Ovis canadensis nelsoni) - Peninsular CA",,E,,"$1,017,980",,"$1,240,603,558"
,157.0,,"oral, staghorn (Acropora cervicornis)",,T,,"$1,013,144",,"$1,241,616,702"
,158.0,,"balone, White (Haliotis sorenseni) - West Coast from Point",,E,,"$1,004,328",,"$1,242,621,030"
,,,"onception, CA, to Punta Abreojos, Baja California, Mexico",,,,,,
,159.0,,"nails, Oahu tree (Achatinella spp.)",,E,,"$977,451",,"$1,243,598,481"
,160.0,,"hub, Oregon (Oregonichthys crameri)",,T,,"$972,151",,"$1,244,570,632"
,161.0,,"balone, Black (Haliotis cracherodii)",,E,,"$963,645",,"$1,245,534,277"
,162.0,,"nake, San Francisco garter (Thamnophis sirtalis tetrataenia)",,E,,"$958,482",,"$1,246,492,759"
,163.0,,"at, Hawaiian hoary (Lasiurus cinereus semotus)",,E,,"$957,395",,"$1,247,450,154"
,164.0,,"rog, mountain yellow-legged (Rana muscosa) – So. CA DPS",,E,,"$952,650",,"$1,248,402,804"
