Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,490,"Trout, Paiute cutthroat (Oncorhynchus clarkii seleniris)",T,"$101,140","$1,342,248,893"
,491,"Kingfisher, Guam Micronesian (Halcyon cinnamomina",E,"$100,893","$1,342,349,786"
,cinnamomina),,,,
,492,"Elktoe, Appalachian (Alasmidonta raveneliana)",E,"$100,840","$1,342,450,626"
,493,"Milk-vetch, Holmgren (Astragalus holmgreniorum)",E,"$100,835","$1,342,551,461"
,494,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"$100,815","$1,342,652,276"
,495,"Orcutt grass, Sacramento (Orcuttia viscida)",E,"$99,620","$1,342,751,896"
,496,"Skullcap, large-flowered (Scutellaria montana)",T,"$98,662","$1,342,850,558"
,497,"Gooseberry, Miccosukee (Ribes echinellum)",T,"$98,463","$1,342,949,021"
,498,"Niterwort, Amargosa (Nitrophila mohavensis)",E,"$97,907","$1,343,046,928"
,499,"Bonamia, Florida (Bonamia grandiflora)",T,"$97,215","$1,343,144,143"
,500,Lobelia gaudichaudii ssp. koolauensis (=Sci name),E,"$96,721","$1,343,240,864"
,501,Phyllostegia mollis (=Sci name),E,"$96,329","$1,343,337,193"
,502,Spectaclecase (mussel) (Cumberlandia monodonta),E,"$95,918","$1,343,433,111"
,503,"Woundfin (Plagopterus argentissimus) - Gila R. drainage, AZ, NM",EXPN,"$95,661","$1,343,528,772"
,504,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"$95,311","$1,343,624,083"
,505,"Aster, decurrent false (Boltonia decurrens)",T,"$93,643","$1,343,717,726"
,506.0,,"aguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi",,E,,"$93,281",,"$1,343,811,007"
,,,"acomitli) – TX , Mexico",,,,,,
,507.0,,amakahala (Labordia cyrtandrae),,E,,"$93,114",,"$1,343,904,121"
,508.0,,"omace fly, [unnamed] (Drosophila montgomeryi)",,E,,"$92,934",,"$1,343,997,055"
,508.0,,"omace fly, [unnamed] (Drosophila substenoptera)",,E,,"$92,934",,"$1,344,089,989"
,509.0,,"iger beetle, Puritan (Cicindela puritana)",,T,,"$92,755",,"$1,344,182,744"
,510.0,,"turgeon, Shovelnose (Scaphirhynchus platorynchus)",,SAT,,"$92,547",,"$1,344,275,291"
,511.0,,"ennyroyal, Todsen's (Hedeoma todsenii)",,E,,"$92,415",,"$1,344,367,706"
,512.0,,ioi (Eugenia koolauensis),,E,,"$92,153",,"$1,344,459,859"
,513.0,,aha (Cyanea koolauensis),,E,,"$91,721",,"$1,344,551,580"
,514.0,,tenogyne kanehoana (=Sci name),,E,,"$91,329",,"$1,344,642,909"
,515.0,,chiedea trinervis (=Sci name),,E,,"$91,221",,"$1,344,734,130"
,516.0,,yanea (=Rollandia) crispa (=Sci name),,E,,"$91,153",,"$1,344,825,283"
,517.0,,"utterfly, Lange's metalmark (Apodemia mormo langei)",,E,,"$91,100",,"$1,344,916,383"
,518.0,,"utterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",,E,,"$90,880",,"$1,345,007,263"
,519.0,,lani (Melicope lydgatei),,E,,"$90,721",,"$1,345,097,984"
,520.0,,"utterfly, Smith's blue (Euphilotes enoptes smithi)",,E,,"$90,670",,"$1,345,188,654"
,521.0,,"nion, Munz's (Allium munzii)",,E,,"$90,660",,"$1,345,279,314"
,522.0,,"actus, Wright fishhook (Sclerocactus wrightiae)",,E,,"$90,100",,"$1,345,369,414"
,523.0,,a`iwale (Cyrtandra subumbellata),,E,,"$89,721",,"$1,345,459,135"
,524.0,,"rcutt grass, slender (Orcuttia tenuis)",,T,,"$89,402",,"$1,345,548,537"
,525.0,,"occasinshell, Ochlockonee (Medionidus simpsonianus)",,E,,"$89,264",,"$1,345,637,801"
,526.0,,iola oahuensis (=Sci name),,E,,"$89,221",,"$1,345,727,022"
,527.0,,"kipper, Carson wandering (Pseudocopaeodes eunus obscurus) -",,E,,"$88,652",,"$1,345,815,674"
,,,"V, CA",,,,,,
,528.0,,"kyrocket, Pagosa (Ipomopsis polyantha)",,E,,"$86,825",,"$1,345,902,499"
,529.0,,"alamander, desert slender (Batrachoseps aridus)",,E,,"$86,511",,"$1,345,989,010"
,530.0,,"lktoe, Cumberland (Alasmidonta atropurpurea)",,E,,"$85,896",,"$1,346,074,906"
,531.0,,o`oloa`ula (Abutilon menziesii),,E,,"$85,724",,"$1,346,160,630"
,532.0,,"eadowfoam, large-flowered woolly (Limnanthes floccosa ssp.",,E,,"$85,634",,"$1,346,246,264"
,,,randiflora),,,,,,
,533.0,,"egapode, Micronesian (Megapodius laperouse)",,E,,"$85,444",,"$1,346,331,708"
,534.0,,"actus, San Rafael (Pediocactus despainii)",,E,,"$85,100",,"$1,346,416,808"
,535.0,,"vening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",,E,,"$84,904",,"$1,346,501,712"
,536.0,,Aiea (Nothocestrum breviflorum),,E,,"$84,599",,"$1,346,586,311"
,537.0,,"unflower, Schweinitz's (Helianthus schweinitzii)",,E,,"$84,435",,"$1,346,670,746"
,538.0,,anshell (Cyprogenia stegaria),,E,,"$83,603",,"$1,346,754,349"
,539.0,,"ly, Delhi Sands flower-loving (Rhaphiomidas terminatus",,E,,"$83,201",,"$1,346,837,550"
,,,bdominalis),,,,,,
,540.0,,"aintbrush, ash-grey (Castilleja cinerea)",,T,,"$83,066",,"$1,346,920,616"
,541.0,,"oppy, Sacramento prickly (Argemone pleiacantha ssp. pinnatisecta)",,E,,"$83,015",,"$1,347,003,631"
,542.0,,"histle, Chorro Creek bog (Cirsium fontinale var. obispoense)",,E,,"$82,773",,"$1,347,086,404"
,543.0,,"utterfly, mission blue (Icaricia icarioides missionensis)",,E,,"$80,503",,"$1,347,166,907"
,544.0,,"arter, yellowcheek (Etheostoma moorei)",,E,,"$79,396",,"$1,347,246,303"
,545.0,,"udleya, Santa Clara Valley (Dudleya setchellii)",,E,,"$79,100",,"$1,347,325,403"
,546.0,,"ewelflower, Metcalf Canyon (Streptanthus albidus ssp. albidus)",,E,,"$79,000",,"$1,347,404,403"
,547.0,,"hub, Borax Lake (Gila boraxobius)",,E,,"$78,860",,"$1,347,483,263"
,548.0,,"nail, Newcomb's (Erinna newcombi)",,T,,"$78,687",,"$1,347,561,950"
,549.0,,"hacelia, DeBeque (Phacelia submutica)",,T,,"$78,341",,"$1,347,640,291"
,550.0,,"ocketbook, Ouachita rock (Arkansia wheeleri)",,E,,"$78,154",,"$1,347,718,445"
,551.0,,"iperia, Yadon's (Piperia yadonii)",,E,,"$78,096",,"$1,347,796,541"
,552.0,,"utterfly plant, Colorado (Gaura neomexicana var. coloradensis)",,T,,"$77,872",,"$1,347,874,413"
,553.0,,"purge, telephus (Euphorbia telephioides)",,T,,"$77,341",,"$1,347,951,754"
,554.0,,"wl's-clover, fleshy (Castilleja campestris ssp. succulenta)",,T,,"$76,129",,"$1,348,027,883"
,555.0,,Ahinahina (Argyroxiphium sandwicense ssp. macrocephalum),,T,,"$75,401",,"$1,348,103,284"
,556.0,,"eetle, Mount Hermon June (Polyphylla barbata)",,E,,"$75,186",,"$1,348,178,470"
,557.0,,"pineflower, slender-horned (Dodecahema leptoceras)",,E,,"$74,783",,"$1,348,253,253"
,558.0,,"ild buckwheat, clay-loving (Eriogonum pelinophilum)",,E,,"$74,036",,"$1,348,327,289"
,559.0,,"actus, Uinta Basin hookless (Sclerocactus wetlandicus)",,T,,"$72,230",,"$1,348,399,519"
,560.0,,"rayfish, Shasta (Pacifastacus fortis)",,E,,"$71,558",,"$1,348,471,077"
,561.0,,"ird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)",,E,,"$71,264",,"$1,348,542,341"
,562.0,,"Akoko, Ewa Plains (Chamaesyce skottsbergii var. skottsbergii)",,E,,"$71,210",,"$1,348,613,551"
,563.0,,"allflower, Contra Costa (Erysimum capitatum var. angustatum)",,E,,"$71,138",,"$1,348,684,689"
,564.0,,"pringfish, Hiko White River (Crenichthys baileyi grandis)",,E,,"$71,084",,"$1,348,755,773"
,565.0,,"inch, Nihoa (honeycreeper) (Telespyza ultima)",,E,,"$70,677",,"$1,348,826,450"
,566.0,,"ace, Clover Valley speckled (Rhinichthys osculus oligoporus)",,E,,"$70,030",,"$1,348,896,480"
,567.0,,Akoko (Chamaesyce kuwaleana),,E,,"$69,919",,"$1,348,966,399"
,568.0,,"kipper, Pawnee montane (Hesperia leonardus montana)",,T,,"$69,853",,"$1,349,036,252"
,569.0,,"actus, Mesa Verde (Sclerocactus mesae-verdae)",,T,,"$69,438",,"$1,349,105,690"
,570.0,,"eanothus, coyote (Ceanothus ferrisae)",,E,,"$67,785",,"$1,349,173,475"
,571.0,,"ird's beak, palmate-bracted (Cordylanthus palmatus)",,E,,"$67,245",,"$1,349,240,720"
,572.0,,"ropwort, Canby's (Oxypolis canbyi)",,E,,"$67,126",,"$1,349,307,846"
,573.0,,"rcutt grass, California (Orcuttia californica)",,E,,"$66,821",,"$1,349,374,667"
,574.0,,"warf-flax, Marin (Hesperolinon congestum)",,T,,"$66,546",,"$1,349,441,213"
,575.0,,"ountain beaver, Point Arena (Aplodontia rufa nigra)",,E,,"$66,000",,"$1,349,507,213"
,576.0,,"arkspur, San Clemente Island (Delphinium variegatum ssp.",,E,,"$65,858",,"$1,349,573,071"
,,,inkiense),,,,,,
,577.0,,"atercress, Gambel's (Rorippa gambellii)",,E,,"$65,459",,"$1,349,638,530"
,578.0,,"rass, Eureka Dune (Swallenia alexandrae)",,E,,"$65,390",,"$1,349,703,920"
,579.0,,"ronghorn, Sonoran (Antilocapra americana sonoriensis) - AZ,",,EXPN,,"$65,000",,"$1,349,768,920"
,,,exico,,,,,,
,580.0,,"utterwort, Godfrey's (Pinguicula ionantha)",,T,,"$64,878",,"$1,349,833,798"
,581.0,,"actus, Pariette (Sclerocactus brevispinus)",,T,,"$64,600",,"$1,349,898,398"
,582.0,,"iziphus, Florida (Ziziphus celata)",,E,,"$64,568",,"$1,349,962,966"
,583.0,,"ayia, beach (Layia carnosa)",,E,,"$63,363",,"$1,350,026,329"
,584.0,,"arrotbill, Maui (honeycreeper) (Pseudonestor xanthophrys)",,E,,"$63,285",,"$1,350,089,614"
,585.0,,"earlymussel, littlewing (Pegias fabula)",,E,,"$63,166",,"$1,350,152,780"
,586.0,,"eauty, Harper's (Harperocallis flava)",,E,,"$63,078",,"$1,350,215,858"
,587.0,,"utterfly, El Segundo blue (Euphilotes battoides allyni)",,E,,"$62,245",,"$1,350,278,103"
,588.0,,"lubshell, ovate (Pleurobema perovatum) -",,E,,"$61,864",,"$1,350,339,967"
,589.0,,"olygala, Lewton's (Polygala lewtonii)",,E,,"$61,758",,"$1,350,401,725"
,590.0,,auila (Colubrina oppositifolia),,E,,"$61,467",,"$1,350,463,192"
,591.0,,"ladderpod, Dudley Bluffs (Lesquerella congesta)",,T,,"$61,069",,"$1,350,524,261"
,592.0,,"izard, St. Croix ground (Ameiva polops)",,E,,"$60,795",,"$1,350,585,056"
,593.0,,"hacelia, North Park (Phacelia formosula)",,E,,"$60,411",,"$1,350,645,467"
,594.0,,"hlox, Yreka (Phlox hirsuta)",,E,,"$60,367",,"$1,350,705,834"
,595.0,,"vening-primrose, Antioch Dunes (Oenothera deltoides ssp.",,E,,"$60,303",,"$1,350,766,137"
,,,owellii),,,,,,
,596.0,,hai (Sesbania tomentosa),,E,,"$59,764",,"$1,350,825,901"
,597.0,,"winpod, Dudley Bluffs (Physaria obcordata)",,T,,"$59,727",,"$1,350,885,628"
,598.0,,"earlymussel, dromedary (Dromus dromas) - Except where EXPN",,E,,"$59,660",,"$1,350,945,288"
,599.0,,"utterfly, callippe silverspot (Speyeria callippe callippe)",,E,,"$58,600",,"$1,351,003,888"
,600.0,,"heckermallow, Wenatchee Mountains (Sidalcea oregana var.",,E,,"$58,584",,"$1,351,062,472"
,,,alva),,,,,,
,601.0,,"ern, American hart's-tongue (Asplenium scolopendrium var.",,T,,"$58,254",,"$1,351,120,726"
,,,mericanum),,,,,,
,602.0,,arperella (Ptilimnium nodosum),,E,,"$58,137",,"$1,351,178,863"
,603.0,,ula wahine noho (Isodendrion pyrifolium),,E,,"$58,118",,"$1,351,236,981"
,604.0,,"allow, Kern (Eremalche kernensis)",,E,,"$58,102",,"$1,351,295,083"
,605.0,,"rillium, relict (Trillium reliquum)",,E,,"$57,970",,"$1,351,353,053"
,606.0,,"ladonia, Florida perforate (Cladonia perforata)",,E,,"$57,550",,"$1,351,410,603"
,607.0,,"ilk-vetch, Applegate's (Astragalus applegatei)",,E,,"$57,442",,"$1,351,468,045"
,608.0,,"eer, key (Odocoileus virginianus clavium)",,E,,"$56,779",,"$1,351,524,824"
,609.0,,"liau, dwarf (Wilkesia hobdyi)",,E,,"$56,288",,"$1,351,581,112"
,610.0,,"utterweed, Layne's (Senecio layneae)",,T,,"$55,955",,"$1,351,637,067"
,611.0,,"arplant, Santa Cruz (Holocarpha macradenia)",,T,,"$55,764",,"$1,351,692,831"
,612.0,,"eardtongue, Parachute (Penstemon debilis)",,T,,"$55,484",,"$1,351,748,315"
,613.0,,lani (Melicope zahlbruckneri),,E,,"$55,160",,"$1,351,803,475"
,614.0,,"ilkweed, Mead's (Asclepias meadii)",,T,,"$54,749",,"$1,351,858,224"
,615.0,,"ikeminnow (=squawfish), Colorado (Ptychocheilus lucius) - Salt",,EXPN,,"$54,734",,"$1,351,912,958"
,,,"nd Verde R. drainages, AZ",,,,,,
,616.0,,"mbersnail, Kanab (Oxyloma haydeni kanabensis)",,E,,"$54,654",,"$1,351,967,612"
,617.0,,"entachaeta, Lyon's (Pentachaeta lyonii)",,E,,"$54,337",,"$1,352,021,949"
,618.0,,"actus, Winkler (Pediocactus winkleri)",,T,,"$54,100",,"$1,352,076,049"
,619.0,,"eablite, California (Suaeda californica)",,E,,"$53,902",,"$1,352,129,951"
,620.0,,"histle, Suisun (Cirsium hydrophilum var. hydrophilum)",,E,,"$53,421",,"$1,352,183,372"
,620.0,,"ird's-beak, soft (Cordylanthus mollis ssp. mollis)",,E,,"$53,421",,"$1,352,236,793"
,621.0,,"opcornflower, rough (Plagiobothrys hirtus)",,E,,"$53,292",,"$1,352,290,085"
,622.0,,ing pink (mussel) (Obovaria retusa),,E,,"$53,275",,"$1,352,343,360"
,623.0,,"ouse, Alabama beach (Peromyscus polionotus ammobates)",,E,,"$52,151",,"$1,352,395,511"
,624.0,,"ypress, Santa Cruz (Cupressus abramsiana)",,E,,"$52,131",,"$1,352,447,642"
,625.0,,"ster, Florida golden (Chrysopsis floridana)",,E,,"$52,100",,"$1,352,499,742"
,626.0,,"sopod, Lee County cave (Lirceus usdagalun)",,E,,"$51,790",,"$1,352,551,532"
,627.0,,"utterfly, Behren's silverspot (Speyeria zerene behrensii)",,E,,"$50,528",,"$1,352,602,060"
,628.0,,"upfish, Warm Springs (Cyprinodon nevadensis pectoralis)",,E,,"$50,449",,"$1,352,652,509"
,629.0,,"abbitsfoot, rough (Quadrula cylindrica strigillata)",,E,,"$50,204",,"$1,352,702,713"
,630.0,,"hub, Pahranagat roundtail (Gila robusta jordani)",,E,,"$49,912",,"$1,352,752,625"
,631.0,,"oldfields, Contra Costa (Lasthenia conjugens)",,E,,"$49,496",,"$1,352,802,121"
,632.0,,"ustard, Penland alpine fen (Eutrema penlandii)",,T,,"$49,278",,"$1,352,851,399"
,633.0,,"urtle, bog (=Muhlenberg) (Clemmys muhlenbergii) - southern",,SAT,,"$48,884",,"$1,352,900,283"
,634.0,,onamia menziesii (=Sci name),,E,,"$48,436",,"$1,352,948,719"
,635.0,,"actus, Tobusch fishhook (Sclerocactus brevihamatus ssp. tobuschii)",,E,,"$48,300",,"$1,352,997,019"
,636.0,,"eadowfoam, Butte County (Limnanthes floccosa ssp. californica)",,E,,"$48,030",,"$1,353,045,049"
,637.0,,"arter, Cherokee (Etheostoma scotti)",,T,,"$47,875",,"$1,353,092,924"
,638.0,,"ilk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",,E,,"$47,675",,"$1,353,140,599"
,639.0,,"orning-glory, Stebbins' (Calystegia stebbinsii)",,E,,"$47,655",,"$1,353,188,254"
,640.0,,"ountain balm, Indian Knob (Eriodictyon altissimum)",,E,,"$46,960",,"$1,353,235,214"
,641.0,,"utterfly, Saint Francis' satyr (Neonympha mitchellii francisci)",,E,,"$46,694",,"$1,353,281,908"
,642.0,,"lubshell, southern (Pleurobema decisum)",,E,,"$46,640",,"$1,353,328,548"
,643.0,,"eanothus, Pine Hill (Ceanothus roderickii)",,E,,"$46,533",,"$1,353,375,081"
,643.0,,"lannelbush, Pine Hill (Fremontodendron californicum ssp.",,E,,"$46,533",,"$1,353,421,614"
,,,ecumbens),,,,,,
,644.0,,"eadowrue, Cooley's (Thalictrum cooleyi)",,E,,"$46,320",,"$1,353,467,934"
,645.0,,"andwort, Bear Valley (Arenaria ursina)",,T,,"$46,260",,"$1,353,514,194"
,646.0,,"unburst, Hartweg's golden (Pseudobahia bahiifolia)",,E,,"$45,981",,"$1,353,560,175"
,647.0,,"ussypaws, Mariposa (Calyptridium pulchellum)",,T,,"$45,830",,"$1,353,606,005"
,648.0,,"alamander, Cheat Mountain (Plethodon nettingi)",,T,,"$45,251",,"$1,353,651,256"
,649.0,,"arkspur, Baker's (Delphinium bakeri)",,E,,"$44,940",,"$1,353,696,196"
,650.0,,"itcher-plant, mountain sweet (Sarracenia rubra ssp. jonesii)",,E,,"$44,895",,"$1,353,741,091"
,651.0,,"edstraw, El Dorado (Galium californicum ssp. sierrae)",,E,,"$44,860",,"$1,353,785,951"
,652.0,,"mbrosia, south Texas (Ambrosia cheiranthifolia)",,E,,"$44,804",,"$1,353,830,755"
,653.0,,hyllostegia warshaueri (=Sci name),,E,,"$44,492",,"$1,353,875,247"
,654.0,,"ilk-vetch, Shivwits (Astragalus ampullarioides)",,E,,"$44,100",,"$1,353,919,347"
,655.0,,"ild-buckwheat, southern mountain (Eriogonum kennedyi var.",,T,,"$44,085",,"$1,353,963,432"
,,,ustromontanum),,,,,,
,656.0,,"rodiaea, Chinese Camp (Brodiaea pallida)",,T,,"$43,945",,"$1,354,007,377"
,657.0,,"ilkweed, Welsh's (Asclepias welshii)",,T,,"$43,900",,"$1,354,051,277"
,658.0,,"ladderpod, Missouri (Physaria filiformis)",,T,,"$43,610",,"$1,354,094,887"
,659.0,,"orreya, Florida (Torreya taxifolia)",,E,,"$43,466",,"$1,354,138,353"
,660.0,,"nole, Culebra Island giant (Anolis roosevelti)",,E,,"$43,000",,"$1,354,181,353"
,661.0,,"itcher-plant, green (Sarracenia oreophila)",,E,,"$42,986",,"$1,354,224,339"
,662.0,,"oodrat, Key Largo (Neotoma floridana smalli)",,E,,"$42,728",,"$1,354,267,067"
,663.0,,"rairie-clover, leafy (Dalea foliosa)",,E,,"$42,449",,"$1,354,309,516"
,664.0,,etramolopium rockii (=Sci name),,T,,"$42,356",,"$1,354,351,872"
,665.0,,esneria pauciflora (=Sci name),,T,,"$42,000",,"$1,354,393,872"
,666.0,,uajon (Eleutherodactylus cooki),,T,,"$41,887",,"$1,354,435,759"
,667.0,,"ird's-beak, Pennell's (Cordylanthus tenuis ssp. capillaris)",,E,,"$41,852",,"$1,354,477,611"
,668.0,,"kullcap, Florida (Scutellaria floridana)",,T,,"$41,678",,"$1,354,519,289"
,669.0,,"pinedace, Big Spring (Lepidomeda mollispinis pratensis)",,T,,"$41,490",,"$1,354,560,779"
,670.0,,"ris, dwarf lake (Iris lacustris)",,T,,"$41,186",,"$1,354,601,965"
,671.0,,"ock-cress, McDonald's (Arabis macdonaldiana)",,E,,"$41,122",,"$1,354,643,087"
,672.0,,"ush-mallow, Santa Cruz Island (Malacothamnus fasciculatus var.",,E,,"$41,019",,"$1,354,684,106"
,,,esioticus),,,,,,
,673.0,,"arter, fountain (Etheostoma fonticola)",,E,,"$40,900",,"$1,354,725,006"
,674.0,,"irds-in-a-nest, white (Macbridea alba)",,T,,"$40,893",,"$1,354,765,899"
,675.0,,"urtle, Alabama red-belly (Pseudemys alabamensis)",,E,,"$40,812",,"$1,354,806,711"
,676.0,,"eranium, Hawaiian red-flowered (Geranium arboreum)",,E,,"$40,566",,"$1,354,847,277"
,677.0,,"rrowhead, bunched (Sagittaria fasciculata)",,E,,"$40,181",,"$1,354,887,458"
,678.0,,"lossom, tubercled (pearlymussel) (Epioblasma torulosa torulosa) -",,E,,"$40,079",,"$1,354,927,537"
,,,xcept where listed as EXPN,,,,,,
,679.0,,"ilk-vetch, Mancos (Astragalus humillimus)",,E,,"$39,938",,"$1,354,967,475"
,680.0,,"oint-vetch, sensitive (Aeschynomene virginica)",,T,,"$39,705",,"$1,355,007,180"
,681.0,,"adtom, yellowfin (Noturus flavipinnis) - except where EXPN",,T,,"$39,293",,"$1,355,046,473"
,682.0,,"otato-bean, Price's (Apios priceana)",,T,,"$39,123",,"$1,355,085,596"
,683.0,,"rairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",,E,,"$38,904",,"$1,355,124,500"
,684.0,,"actus, star (Astrophytum asterias)",,E,,"$38,400",,"$1,355,162,900"
,685.0,,"yenia, Texas (Ayenia limitaris)",,E,,"$38,100",,"$1,355,201,000"
,686.0,,"haff-flower, round-leaved (Achyranthes splendens var. rotundata)",,E,,"$37,970",,"$1,355,238,970"
,687.0,,"rcutt grass, San Joaquin (Orcuttia inaequalis)",,T,,"$37,881",,"$1,355,276,851"
,688.0,,"ladderpod, San Bernardino Mountains (Lesquerella kingii ssp.",,E,,"$37,864",,"$1,355,314,715"
,,,ernardina),,,,,,
,689.0,,"round-plum, Guthrie's (=Pyne's) (Astragalus bibullatus)",,E,,"$37,386",,"$1,355,352,101"
,690.0,,"ambusia, Pecos (Gambusia nobilis)",,E,,"$36,165",,"$1,355,388,266"
,691.0,,"airy shrimp, longhorn (Branchinecta longiantenna)",,E,,"$35,800",,"$1,355,424,066"
,692.0,,"uctoria, Greene's (Tuctoria greenei)",,E,,"$35,780",,"$1,355,459,846"
,693.0,,ireweed (Polygonella basiramia),,E,,"$35,650",,"$1,355,495,496"
,694.0,,"hrimp, Kentucky cave (Palaemonias ganteri)",,E,,"$35,600",,"$1,355,531,096"
,695.0,,"lopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",,E,,"$35,533",,"$1,355,566,629"
,696.0,,"hecker-mallow, Keck's (Sidalcea keckii)",,E,,"$35,512",,"$1,355,602,141"
,697.0,,Oha wai (Clermontia drepanomorpha),,E,,"$35,243",,"$1,355,637,384"
,698.0,,"ild-buckwheat, gypsum (Eriogonum gypsophilum)",,T,,"$35,100",,"$1,355,672,484"
,699.0,,"izard, Coachella Valley fringe-toed (Uma inornata)",,T,,"$35,061",,"$1,355,707,545"
,700.0,,"ypress, Gowen (Cupressus goveniana ssp. goveniana)",,T,,"$34,740",,"$1,355,742,285"
,701.0,,"at, Mexican long-nosed (Leptonycteris nivalis)",,E,,"$34,500",,"$1,355,776,785"
,702.0,,"oth, Kern primrose sphinx (Euproserpinus euterpe)",,T,,"$34,403",,"$1,355,811,188"
,703.0,,"oa, Puerto Rican (Epicrates inornatus)",,E,,"$34,241",,"$1,355,845,429"
,704.0,,o`oko`olau (Bidens micrantha ssp. kalealaha),,E,,"$34,211",,"$1,355,879,640"
,705.0,,"iddleneck, large-flowered (Amsinckia grandiflora)",,E,,"$33,930",,"$1,355,913,570"
,706.0,,"ellowhead, desert (Yermo xanthocephalus)",,T,,"$33,903",,"$1,355,947,473"
,707.0,,"occasinshell, Alabama (Medionidus acutissimus)",,T,,"$33,837",,"$1,355,981,310"
,708.0,,"ern, roseate (Sterna dougallii dougallii) - Western Hemisphere",,T,,"$33,739",,"$1,356,015,049"
,,,xcept NE U.S.,,,,,,
,709.0,,"ock cress, Shale barren (Arabis serotina)",,E,,"$33,737",,"$1,356,048,786"
,710.0,,"arter, duskytail (Etheostoma percnurum)",,E,,"$33,393",,"$1,356,082,179"
,711.0,,"lover, showy Indian (Trifolium amoenum)",,E,,"$33,315",,"$1,356,115,494"
,712.0,,"ead-plant, Crenulate (Amorpha crenulata)",,E,,"$33,050",,"$1,356,148,544"
,713.0,,"arplant, Otay (Deinandra (=Hemizonia) conjugens)",,T,,"$32,849",,"$1,356,181,393"
,714.0,,"area, wide-leaf (Warea amplexifolia)",,E,,"$32,600",,"$1,356,213,993"
,715.0,,"oa, Virgin Islands tree (Epicrates monensis granti)",,E,,"$32,516",,"$1,356,246,509"
,716.0,,"onkeyface, Appalachian (pearlymussel) (Quadrula sparsa)",,E,,"$32,500",,"$1,356,279,009"
,717.0,,"rownbeard, big-leaved (Verbesina dissita)",,T,,"$32,485",,"$1,356,311,494"
,718.0,,hi`ihi (Marsilea villosa),,E,,"$32,451",,"$1,356,343,945"
,719.0,,"ilia, Monterey (Gilia tenuiflora ssp. arenaria)",,E,,"$32,447",,"$1,356,376,392"
,720.0,,"adtom, smoky (Noturus baileyi)",,E,,"$31,972",,"$1,356,408,364"
,721.0,,"ogperch, Conasauga (Percina jenkinsi)",,E,,"$31,783",,"$1,356,440,147"
,722.0,,"idneyshell, triangular (Ptychobranchus greenii)",,E,,"$31,700",,"$1,356,471,847"
,723.0,,"actus, Knowlton's (Pediocactus knowltonii)",,E,,"$31,554",,"$1,356,503,401"
,724.0,,"aintbrush, Tiburon (Castilleja affinis ssp. neglecta)",,E,,"$31,388",,"$1,356,534,789"
,725.0,,"ern, pendant kihi (Adenophorus periens)",,E,,"$31,198",,"$1,356,565,987"
,726.0,,"arter, Etowah (Etheostoma etowahae)",,E,,"$30,891",,"$1,356,596,878"
,727.0,,"arter, amber (Percina antesella)",,E,,"$30,839",,"$1,356,627,717"
,728.0,,"nail, Stock Island tree (Orthalicus reses (not incl. nesodryas))",,T,,"$30,370",,"$1,356,658,087"
,729.0,,"uttercup, autumn (Ranunculus aestivalis (=acriformis))",,E,,"$30,300",,"$1,356,688,387"
,730.0,,"ire-lettuce, Malheur (Stephanomeria malheurensis)",,E,,"$29,942",,"$1,356,718,329"
,731.0,,"atspaw, white (pearlymussel) (Epioblasma obliquata perobliqua)",,E,,"$29,879",,"$1,356,748,208"
,732.0,,"rass, Tennessee yellow-eyed (Xyris tennesseensis)",,E,,"$29,853",,"$1,356,778,061"
,733.0,,"alamander, Shenandoah (Plethodon shenandoah)",,E,,"$29,813",,"$1,356,807,874"
,734.0,,"anzanita, pallid (Arctostaphylos pallida)",,T,,"$29,533",,"$1,356,837,407"
,734.0,,"larkia, Vine Hill (Clarkia imbricata)",,E,,"$29,533",,"$1,356,866,940"
,734.0,,"arkspur, yellow (Delphinium luteum)",,E,,"$29,533",,"$1,356,896,473"
,734.0,,"ariposa lily, Tiburon (Calochortus tiburonensis)",,T,,"$29,533",,"$1,356,926,006"
,735.0,,"pider, spruce-fir moss (Microhexura montivaga)",,E,,"$29,290",,"$1,356,955,296"
,736.0,,"anzanita, Morro (Arctostaphylos morroensis)",,T,,"$29,186",,"$1,356,984,482"
,737.0,,Oha wai (Clermontia peleana),,E,,"$29,102",,"$1,357,013,584"
,738.0,,Oha wai (Clermontia lindseyana),,E,,"$29,093",,"$1,357,042,677"
,739.0,,"luecurls, Hidden Lake (Trichostema austromontanum ssp.",,T,,"$29,081",,"$1,357,071,758"
,,,ompactum),,,,,,
,740.0,,"attlesnake, New Mexican ridge-nosed (Crotalus willardi obscurus)",,T,,"$29,000",,"$1,357,100,758"
,741.0,,"ownsendia, Last Chance (Townsendia aprica)",,T,,"$28,600",,"$1,357,129,358"
,742.0,,lymouth Red-Bellied Turtle (Pseudemys rubriventris bangsi),,E,,"$28,380",,"$1,357,157,738"
