Group Name,Unnamed: 1,Rank,Unnamed: 3,Species (50 CFR Part 17),Unnamed: 5,Status,Unnamed: 7,FWS Total,Other Fed,Unnamed: 10,Federal Total,Unnamed: 12,States Total,Unnamed: 14,Species Total
,,47,,"Salmon, chinook",,T,,$0,"$769,540",,"$769,540",,$0,,"$769,540"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Snake River,,,,,,,,,,,
,,,,spring/summer-run ESU,,,,,,,,,,,
,,91,,"Salmon, chinook",,E,,$0,"$61,500",,"$61,500",,$0,,"$61,500"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Sacramento,,,,,,,,,,,
,,,,River winter-run ESU,,,,,,,,,,,
,,32,,"Salmon, chinook",,T,,$0,"$1,652,768",,"$1,652,768",,$0,,"$1,652,768"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Lower,,,,,,,,,,,
,,,,Columbia River ESU,,,,,,,,,,,
,,50,,"Salmon, chinook",,T,,$0,"$684,208",,"$684,208",,$0,,"$684,208"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Upper,,,,,,,,,,,
,,,,Willamette River ESU,,,,,,,,,,,
,,11,,"Salmon, chinook",,E,,$0,"$6,244,794",,"$6,244,794",,"$313,000",,"$6,557,794"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Upper,,,,,,,,,,,
,,,,Columbia spring-run ESU,,,,,,,,,,,
,,79,,"Salmon, chinook",,T,,"$93,000","$61,500",,"$154,500",,$0,,"$154,500"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Central Valley,,,,,,,,,,,
,,,,spring-run ESU,,,,,,,,,,,
,,53,,"Salmon, coho (Oncorhynchus",,T,,$0,"$17,779",,"$17,779",,"$617,000",,"$634,779"
,,,,,,,,,,,,,,,
,,,(=Salmo) kisutch) - Lower,,,,,,,,,,,,
,,,,Columbia River ESU,,,,,,,,,,,
,,15,,"Salmon, sockeye",,E,,$0,"$4,992,248",,"$4,992,248",,$0,,"$4,992,248"
,,,,,,,,,,,,,,,
,,(Oncorhynchus (=Salmo),,,,,,,,,,,,,
,"nerka) - Snake River, ID",,,,,,,,,,,,,,
,,38.0,,"Shiner, Pecos bluntnose",,T,,$0,"$1,300,000",,"$1,300,000",,$0,,"$1,300,000"
,,,,,,,,,,,,,,,
,,,(Notropis simus pecosensis),,,,,,,,,,,,
,,56.0,,"Shiner, Topeka (Notropis",,E,,"$3,258","$558,000",,"$561,258",,$0,,"$561,258"
,,,,,,,,,,,,,,,
,,,topeka (=tristis)),,,,,,,,,,,,
,,107.0,,"Springfish, Hiko White River",,E,,$0,"$3,000",,"$3,000",,$0,,"$3,000"
,,,,,,,,,,,,,,,
,,,(Crenichthys baileyi grandis),,,,,,,,,,,,
,,91.0,,Steelhead (Oncorhynchus,,T,,$0,"$61,500",,"$61,500",,$0,,"$61,500"
,,,,,,,,,,,,,,,
,,,(=Salmo) mykiss) - Central,,,,,,,,,,,,
,,,,Valley CA,,,,,,,,,,,
,,45.0,,Steelhead (Oncorhynchus,,T,,$0,"$787,721",,"$787,721",,$0,,"$787,721"
,,,,,,,,,,,,,,,
,,,(=Salmo) mykiss) - Snake R.,,,,,,,,,,,,
,,,,Basin,,,,,,,,,,,
,,29.0,,Steelhead (Oncorhynchus,,T,,$0,"$1,501,173",,"$1,501,173",,"$617,500",,"$2,118,673"
,,,,,,,,,,,,,,,
,,,(=Salmo) mykiss) - lower,,,,,,,,,,,,
,,,,Columbia R.,,,,,,,,,,,
,,33.0,,Steelhead (Oncorhynchus,,T,,$0,"$1,285,292",,"$1,285,292",,"$263,000",,"$1,548,292"
,,,,,,,,,,,,,,,
,,,(=Salmo) mykiss) - upper,,,,,,,,,,,,
,,,,Columbia R. Basin,,,,,,,,,,,
,,49.0,,Steelhead (Oncorhynchus,,T,,$0,"$684,331",,"$684,331",,$0,,"$684,331"
,,,,,,,,,,,,,,,
,,,(=Salmo) mykiss) - upper,,,,,,,,,,,,
,,,,Willamette R.,,,,,,,,,,,
,,10.0,,Steelhead (Oncorhynchus,,T,,$0,"$4,914,740",,"$4,914,740",,"$2,650,418",,"$7,565,158"
,,,,,,,,,,,,,,,
