29,"Whale, right",Balaena glacialis,E,"3,272.80","331,117.98",75.76%
30,"Wolf, gray",Canis lupus,"E, T","3,094.45","334,212.43",76.46%
31,"Shrike, San Clemente loggerhead",Lanius ludovicianus mearnsi,E,"2,827.54","337,039.97",77.11%
32,"Gnatcatcher, coastal California",Polioptila californica californica,T,"2,684.85","339,724.82",77.73%
33,"Plover, piping",Charadrius melodus,"E, T","2,469.89","342,194.71",78.29%
34,"Bat, Indiana",Myotis sodalis,E,"2,210.02","344,404.72",78.80%
35,"Falcon, American peregrine",Falco peregrinus anatum,E,"2,178.22","346,582.94",79.29%
36,"Trout, Lahontan cutthroat",Oncorhynchus clarki henshawi,T,"1,967.31","348,550.25",79.74%
37,"Stork, wood",Mycteria americana,E,"1,896.10","350,446.35",80.18%
38,"Ferret, black-footed",Mustela nigripes,E,"1,801.55","352,247.89",80.59%
39,"Chub, humpback",Gila cypha,E,"1,676.24","353,924.13",80.97%
40,"Tern, least",Sterna antillarum,E,"1,580.18","355,504.31",81.34%
41,"Toad, arroyo",Bufo microscaphus californicus,E,"1,505.06","357,009.37",81.68%
42,"Chub, bonytail",Gila elegans,E,"1,413.99","358,423.36",82.00%
43,"Owl, Mexican spotted",Strix occidentalis lucida,T,"1,411.69","359,835.05",82.33%
44,"Parrot, Puerto Rican",Amazona vittata,E,"1,275.79","361,110.84",82.62%
45,"Wolf, red",Canis rufus,E,"1,254.55","362,365.39",82.91%
46,"Sucker, Lost River",Deltistes luxatus,E,"1,245.84","363,611.23",83.19%
47,"Sucker, shortnose",Chasmistes brevirostris,E,"1,241.39","364,852.62",83.47%
48,"Condor, California",Gymnogyps californianus,E,"1,184.67","366,037.29",83.75%
49,"Seal, Hawaiian monk",Monachus schauinslandi,E,"1,104.83","367,142.12",84.00%
50,"Sturgeon, pallid",Scaphirhynchus albus,E,"1,088.88","368,231.00",84.25%
51,"Vireo, black-capped",Vireo atricapillus,E,"1,086.66","369,317.66",84.50%
52,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,E,"1,070.50","370,388.16",84.74%
53,"Frog, California red-legged",Rana aurora draytonii,T,"1,067.50","371,455.65",84.99%
54,"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,T,"1,059.24","372,514.90",85.23%
55,"Tern, California least",Sterna antillarum browni,E,"1,058.34","373,573.23",85.47%
56,"Darter, Okaloosa",Etheostoma okaloosae,E,"1,016.37","374,589.61",85.70%
57,"Vireo, least Bell's",Vireo bellii pusillus,E,985.39,"375,575.00",85.93%
58,"Fox, San Joaquin kit",Vulpes macrotis mutica,E,941.13,"376,516.13",86.14%
59,"Minnow, Rio Grande silvery",Hybognathus amarus,E,924.59,"377,440.72",86.35%
60,"Snake, giant garter",Thamnophis gigas,T,913.37,"378,354.09",86.56%
61,"Warbler, golden-cheeked",Dendroica chrysoparia,E,897.56,"379,251.65",86.77%
62,Cui-ui,Chasmistes cujus,E,882.59,"380,134.24",86.97%
63,"Plover, western snowy",Charadrius alexandrinus nivosus,T,860.71,"380,994.95",87.17%
64,"Smelt, delta",Hypomesus transpacificus,T,849.00,"381,843.95",87.36%
65,"Bat, gray",Myotis grisescens,E,834.65,"382,678.60",87.55%
66,"Butterfly, Karner blue",Lycaeides melissa samuelis,E,807.36,"383,485.96",87.74%
67,"Ladies'-tresses, Ute",Spiranthes diluvialis,T,801.90,"384,287.86",87.92%
68,"Howellia, water",Howellia aquatilis,T,742.33,"385,030.19",88.09%
69,"Warbler, Kirtland's",Dendroica kirtlandii,E,688.50,"385,718.69",88.25%
70,"Stilt, Hawaiian",Himantopus mexicanus knudseni,E,686.21,"386,404.90",88.41%
71,"Albatross, short-tailed",Phoebastria albatrus,E,635.60,"387,040.50",88.55%
72,"Fairy shrimp, vernal pool",Branchinecta lynchi,T,631.32,"387,671.82",88.70%
73,"Crow, Mariana",Corvus kubaryi,E,620.50,"388,292.32",88.84%
74,"Jay, Florida scrub",Aphelocoma coerulescens,T,619.05,"388,911.37",88.98%
75,"Otter, southern sea",Enhydra lutris nereis,T,614.80,"389,526.17",89.12%
76,"Springsnail, Bruneau Hot",Pyrgulopsis bruneauensis,E,579.18,"390,105.35",89.25%
77,"Shiner, Pecos bluntnose",Notropis simus pecosensis,T,551.75,"390,657.10",89.38%
78,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,E,549.60,"391,206.70",89.50%
79,"Rail, Guam",Rallus owstoni,E,545.74,"391,752.44",89.63%
