RANK (from Tab. 2),SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,FWS TOTAL,"OTHERFED",FED TOTAL,"STATESTOTAL","SPECIESTOTAL($000)","LANDRANK"
111.0,"Rail, California clapper",Rallus longirostris obsoletus,E,"1,083.30",0.00,"1,083.30",0.00,"1,083.30",20.0
37.0,"Stork, wood",Mycteria americana,E,642.00,"3,500.00","4,142.00",448.35,"4,590.35",2.0
55.0,"Tern, California least",Sterna antillarum browni,E,"1,083.30",0.00,"1,083.30",0.00,"1,083.30",21.0
40.0,"Tern, least",Sterna antillarum,E,0.00,21.16,21.16,0.00,21.16,90.0
57.0,"Vireo, least Bell's",Vireo bellii pusillus,E,396.80,0.00,396.80,0.00,396.80,36.0
6.0,"Woodpecker, red-cockaded",Picoides borealis,E,485.00,0.00,485.00,0.00,485.00,31.0
,,,,,,,,,
,REPTILES,,,,,,,,
234.0,"Crocodile, American",Crocodylus acutus,E,234.00,0.00,234.00,0.00,234.00,52.0
125.0,"Lizard, blunt-nosed leopard",Gambelia silus,E,0.00,70.20,70.20,0.00,70.20,70.0
21.0,"Sea turtle, green",Chelonia mydas,"E, T","1,058.40",0.00,"1,058.40",0.00,"1,058.40",22.0
25.0,"Sea turtle, Kemp's ridley",Lepidochelys kempii,E,472.00,35.00,507.00,0.00,507.00,29.0
26.0,"Sea turtle, leatherback",Dermochelys coriacea,E,31.40,0.00,31.40,0.00,31.40,87.0
17.0,"Sea turtle, loggerhead",Caretta caretta,T,"1,292.40",60.00,"1,352.40",0.00,"1,352.40",14.0
27.0,"Sea turtle, olive ridley",Lepidochelys olivacea,"E, T",31.40,0.00,31.40,0.00,31.40,88.0
997.0,"Skink, bluetail mole",Eumeces egregius lividus,T,309.00,0.00,309.00,0.00,309.00,47.0
1022.0,"Skink, sand",Neoseps reynoldsi,T,309.00,0.00,309.00,0.00,309.00,48.0
269.0,"Snake, copperbelly water",Nerodia erythrogaster neglecta,T,0.00,3.00,3.00,0.00,3.00,104.0
96.0,"Snake, eastern indigo",Drymarchon corais couperi,T,234.00,0.00,234.00,0.00,234.00,53.0
60.0,"Snake, giant garter",Thamnophis gigas,T,"1,376.80",0.00,"1,376.80",0.00,"1,376.80",13.0
18.0,"Tortoise, desert",Gopherus agassizii,T,0.00,"4,471.00","4,471.00",0.0,"4,471.00",3.0
100.0,"Tortoise, gopher",Gopherus polyphemus,T,485.00,0.00,485.00,0.0,485.00,32.0
137.0,"Turtle, bog",Clemmys muhlenbergii,T,0.00,21.00,21.00,0.0,21.00,91.0
,,,,,,,,,
,AMPHIBIANS,,,,,,,,
53.0,"Frog, California red-legged",Rana aurora draytonii,T,396.80,250.00,646.80,0.0,646.80,27.0
257.0,"Salamander, Santa Cruz long-toed",Ambystoma macrodactylum croceum,E,240.00,0.00,240.00,0.0,240.00,51.0
41.0,"Toad, arroyo",Bufo microscaphus californicus,E,396.80,0.00,396.80,0.0,396.80,37.0
,FISHES,,,0.00,0.00,0.00,0.0,0.00,
42.0,"Chub, bonytail",Gila elegans,E,0.00,0.00,0.00,80.0,80.00,65.0
39.0,"Chub, humpback",Gila cypha,E,0.00,0.00,0.00,80.0,80.00,66.0
176.0,"Chub, Virgin River",Gila robusta seminuda,E,0.00,0.00,0.00,80.0,80.00,67.0
376.0,"Dace, Ash Meadows speckled",Rhinichthys osculus nevadensis,E,54.50,0.00,54.50,0.0,54.50,74.0
483.0,"Darter, amber",Percina antesella,E,0.00,0.00,0.00,80.22,80.22,62.0
108.0,"Goby, tidewater",Eucyclogobius newberryi,E,17.00,0.00,17.00,0.0,17.00,93.0
249.0,"Pupfish, Ash Meadows Amargosa",Cyprinodon nevadensis mionectes,E,54.50,0.00,54.50,0.0,54.50,75.0
229.0,"Pupfish, Devils Hole",Cyprinodon diabolis,E,54.50,0.00,54.50,0.0,54.50,76.0
406.0,"Pupfish, Warm Springs",Cyprinodon nevadensis pectoralis,E,54.50,0.00,54.50,0.0,54.50,77.0
1.0,"Salmon, chinook",Oncorhynchus tshawytscha,"E, T",0.00,"3,564.00","3,564.00",829.0,"4,393.00",4.0
4.0,"Salmon, chum",Oncorhynchus keta,T,0.00,132.50,132.50,596.0,728.50,26.0
3.0,"Salmon, coho",Oncorhynchus kisutch,T,0.00,12.00,12.00,157.03,169.03,55.0
5.0,"Salmon, sockeye",Oncorhynchus nerka,"E, T",0.00,132.50,132.50,0.0,132.50,58.0
364.0,"Shiner, blue",Cyprinella caerulea,T,0.00,0.00,0.00,80.22,80.22,63.0
