Rank,Species (50 CFR Part 17),Status,Species Total,Cumulative Total
74.0,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"$2,067,906","$741,815,798"
75.0,"Wolf, gray (Canis lupus)Mexican gray wolf, EXPN population",EXPN,"$1,856,333","$743,672,131"
76.0,"Salamander, flatwoods (Ambystoma cingulatum)",T,"$1,814,300","$745,486,431"
77.0,"Woodpecker, ivory-billed (Campephilus principalis)",E,"$1,809,870","$747,296,301"
78.0,"Wolf, gray (Canis lupus)WY, ID, MT",EXPN,"$1,791,511","$749,087,812"
79.0,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"$1,744,181","$750,831,993"
80.0,Pondberry (Lindera melissifolia),E,"$1,634,085","$752,466,078"
81.0,"Eider, Steller's (Polysticta stelleri)AK breeding pop.",T,"$1,580,390","$754,046,468"
82.0,"Ferret, black-footed (Mustela nigripes)U.S.A. (specific portions of AZ, CO, MT, SD, UT, and WY)",EXPN,"$1,563,118","$755,609,586"
83.0,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",E,"$1,483,432","$757,093,018"
84.0,"Snake, giant garter (Thamnophis gigas)",T,"$1,465,861","$758,558,879"
85.0,"Snake, eastern indigo (Drymarchon corais couperi)",T,"$1,460,331","$760,019,210"
86.0,"Vireo, black-capped (Vireo atricapilla)",E,"$1,457,462","$761,476,672"
87.0,"Parrot, Puerto Rican (Amazona vittata)",E,"$1,397,200","$762,873,872"
88.0,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"$1,385,841","$764,259,713"
89.0,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"$1,377,963","$765,637,676"
90.0,"Condor, California (Gymnogyps californianus)U.S.A. only",E,"$1,236,274","$766,873,950"
91.0,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",E,"$1,205,849","$768,079,799"
92.0,"Tern, California least (Sterna antillarum browni)",E,"$1,203,250","$769,283,049"
93.0,"Sea turtle, green (Chelonia mydas)FL, Mexico nesting pops.",E,"$1,093,617","$770,376,666"
94,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"$1,057,719","$771,434,385"
95,"Bat, gray (Myotis grisescens)",E,"$1,020,123","$772,454,508"
96,"Trout, Apache (Oncorhynchus apache)",T,"$980,000","$773,434,508"
97,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus)FL pop.",E,"$955,039","$774,389,547"
98,"Otter, southern sea (Enhydra lutris nereis)except where EXPN",T,"$951,950","$775,341,497"
99,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"$946,767","$776,288,264"
100,"Warbler (=wood), Kirtland's (Dendroica kirtlandii)",E,"$907,475","$777,195,739"
101,"Alligator, American (Alligator mississippiensis)",SAT,"$857,807","$778,053,546"
102,"Rail, Yuma clapper (Rallus longirostris yumanensis)U.S.A. only",E,"$848,554","$778,902,100"
103,"Eider, spectacled (Somateria fischeri)",T,"$848,100","$779,750,200"
104,"Crow, Hawaiian (='alala) (Corvus hawaiiensis)",E,"$846,099","$780,596,299"
105,"Pelican, brown (Pelecanus occidentalis)except U.S. Atlantic coast, FL, AL",E,"$837,221","$781,433,520"
106,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"$821,498","$782,255,018"
107,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"$792,816","$783,047,834"
108,"Otter, Northern Sea (Enhydra lutris kenyoni)southwest Alaska DPS",T,"$772,700","$783,820,534"
109,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)northern",T,"$759,778","$784,580,312"
110,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"$746,167","$785,326,479"
111,Palila (honeycreeper) (Loxioides bailleui),E,"$745,672","$786,072,151"
112,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"$744,717","$786,816,868"
113,"Chaffseed, American (Schwalbea americana)",E,"$740,749","$787,557,617"
114,"Falcon, northern aplomado (Falco femoralis septentrionalis)",E,"$734,330","$788,291,947"
115,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus)Entire, except Sussex Co., DE",E,"$730,391","$789,022,338"
116,"Frog, Chiricahua leopard (Rana chiricahuensis)",T,"$723,813","$789,746,151"
117,"Seagrass, Johnson's (Halophila johnsonii)",T,"$723,350","$790,469,501"
118,"Bear, Louisiana black (Ursus americanus luteolus)",T,"$717,340","$791,186,841"
119,"Ferret, black-footed (Mustela nigripes)entire population, except where EXPN",E,"$714,680","$791,901,521"
120,"Salamander, California tiger (Ambystoma californiense)U.S.A. (Central CA DPS)",T,"$714,125","$792,615,646"
121,"Whale, sperm (Physeter catodon (=macrocephalus))",E,"$707,417","$793,323,063"
122,Spikedace (Meda fulgida),T,"$686,100","$794,009,163"
123,"Wolf, red (Canis rufus)U.S.A. (portions of NC and TN)",EXPN,"$646,825","$794,655,988"
124,"Trout, Gila (Oncorhynchus gilae)",T,"$641,200","$795,297,188"
125,"Sawfish, smalltooth (Pristis pectinata)",E,"$638,744","$795,935,932"
126,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"$624,257","$796,560,189"
127,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"$619,830","$797,180,019"
128,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$615,541","$797,795,560"
129,"Minnow, loach (Tiaroga cobitis)",T,"$614,700","$798,410,260"
130,"Frog, mountain yellow-legged (Rana muscosa)southern California DPS",E,"$607,657","$799,017,917"
131,"Bear, grizzly (Ursus arctos horribilis)Yellowstone DPS",PT,"$606,764","$799,624,681"
132,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"$604,372","$800,229,053"
133,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis)U.S.A. only",E,"$578,500","$800,807,553"
134,"Darter, Etowah (Etheostoma etowahae)",E,"$564,827","$801,372,380"
135,"Goose, Hawaiian (Branta (=Nesochen) sandvicensis)",E,"$557,270","$801,929,650"
136,"Sea turtle, olive ridley (Lepidochelys olivacea)Mexican nesting pop.",E,"$551,725","$802,481,375"
137,"Darter, Cherokee (Etheostoma scotti)",T,"$549,077","$803,030,452"
138,"Sea turtle, olive ridley (Lepidochelys olivacea)except where endangered",T,"$544,837","$803,575,289"
139,"Goby, tidewater (Eucyclogobius newberryi)Entire",E,"$536,096","$804,111,385"
140,"Rail, Guam (Rallus owstoni)except Rota",E,"$533,600","$804,644,985"
141,"Woundfin (Plagopterus argentissimus)except Gila R. drainage, AZ, NM",E,"$529,363","$805,174,348"
142,"Wolf, red (Canis rufus)except where EXPN",E,"$512,215","$805,686,563"
143,"Chub, Virgin River (Gila seminuda (=robusta))",E,"$511,844","$806,198,407"
144,"Fox, San Miguel Island (Urocyon littoralis littoralis)",E,"$494,022","$806,692,429"
145,"Snails, Oahu tree (Achatinella spp.)",E,"$485,128","$807,177,557"
146,"Fox, Santa Cruz Island (Urocyon littoralis santacruzae)",E,"$484,962","$807,662,519"
147,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus)",E,"$482,473","$808,144,992"
148,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"$478,550","$808,623,542"
149,"Logperch, Roanoke (Percina rex)",E,"$476,621","$809,100,163"
150,"Spinedace, Little Colorado (Lepidomeda vittata)",T,"$474,080","$809,574,243"
151,"Shiner, Topeka (Notropis topeka (=tristis))",E,"$467,683","$810,041,926"
152,"Rail, California clapper (Rallus longirostris obsoletus)",E,"$460,396","$810,502,322"
153,"Butterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",E,"$460,327","$810,962,649"
154,"Plover, piping (Charadrius melodus)Great Lakes watershed",E,"$458,697","$811,421,346"
155,"Sheep, bighorn (Ovis canadensis)Peninsular CA pop.",E,"$442,759","$811,864,105"
156,"Darter, Niangua (Etheostoma nianguae)",T,"$437,511","$812,301,616"
157,"Caracara, Audubon's crested (Polyborus plancus audubonii)FL pop.",T,"$437,124","$812,738,740"
158,"Trout, greenback cutthroat (Oncorhynchus clarki stomias)",T,"$432,492","$813,171,232"
159,"Crane, whooping (Grus americana)U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)",EXPN,"$416,750","$813,587,982"
160,"Crane, Mississippi sandhill (Grus canadensis pulla)",E,"$411,404","$813,999,386"
161,"Fritillary, Gentner's (Fritillaria gentneri)",E,"$410,100","$814,409,486"
162,"Mapleleaf, winged (Quadrula fragosa)Entire; except where listed as experimental populations",E,"$408,897","$814,818,383"
163,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",E,"$408,700","$815,227,083"
164,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii (=var.kincaidii))",T,"$405,136","$815,632,219"
165,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"$404,249","$816,036,468"
166,"Sheep, Sierra Nevada bighorn (Ovis canadensis sierrae)Sierra Nevada",E,"$402,530","$816,438,998"
167,"Paintbrush, golden (Castilleja levisecta)",T,"$393,767","$816,832,765"
168,"Crane, whooping (Grus americana)U.S.A.(AL, AR, GA, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, OH, SC, TN,VA, WI, WV)",EXPN,"$392,435","$817,225,200"
169,"Dragonfly, Hine's emerald (Somatochlora hineana)",E,"$382,167","$817,607,367"
170,"Bat, Hawaiian hoary (Lasiurus cinereus semotus)",E,"$381,938","$817,989,305"
171,"Prairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",E,"$376,123","$818,365,428"
172,"Skink, sand (Neoseps reynoldsi)",T,"$375,791","$818,741,219"
173,Spermolepis hawaiiensis (=Sci name),E,"$371,243","$819,112,462"
174,"Beetle, American burying (Nicrophorus americanus)",E,"$369,329","$819,481,791"
175,"Snail, Utah valvata (Valvata utahensis)",E,"$363,987","$819,845,778"
176,"Heelsplitter, Carolina (Lasmigona decorata)",E,"$360,976","$820,206,754"
177,"Mouse, salt marsh harvest (Reithrodontomys raviventris)",E,"$358,396","$820,565,150"
178,"Wolf, gray (Canis lupus)MN",T,"$353,137","$820,918,287"
179,"Toad, arroyo (=arroyo southwestern) (Bufo californicus(=microscaphus))",E,"$351,908","$821,270,195"
180,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei)Colorado",T,"$345,432","$821,615,627"
181,"Tortoise, desert (Gopherus agassizii)outside/taken from Sonoran Desert",SAT,"$342,142","$821,957,769"
182,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,"$338,673","$822,296,442"
183,"Springsnail, Idaho (Pyrgulopsis idahoensis)",E,"$333,516","$822,629,958"
184,"Darter, leopard (Percina pantherina)",T,"$333,300","$822,963,258"
185,"Sucker, June (Chasmistes liorus)",E,"$330,130","$823,293,388"
186,"Snail, Bliss Rapids (Taylorconcha serpenticola)",T,"$327,442","$823,620,830"
187,"Mucket, pink (pearlymussel) (Lampsilis abrupta)",E,"$324,880","$823,945,710"
188,"Whipsnake (=striped racer), Alameda (Masticophis lateraliseuryxanthus)",T,"$319,283","$824,264,993"
189,"Prairie dog, Utah (Cynomys parvidens)",T,"$319,259","$824,584,252"
190,"Butterfly, mission blue (Icaricia icarioides missionensis)",E,"$318,513","$824,902,765"
191,"Bonamia, Florida (Bonamia grandiflora)",T,"$317,100","$825,219,865"
192,"Buckwheat, scrub (Eriogonum longifolium var. gnaphalifolium)",T,"$316,580","$825,536,445"
193,"Catchfly, Spalding's (Silene spaldingii)",T,"$316,158","$825,852,603"
194,"Cactus, star (Astrophytum asterias)",E,"$315,044","$826,167,647"
195,"Goldenrod, Short's (Solidago shortii)",E,"$314,600","$826,482,247"
196,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"$314,032","$826,796,279"
197,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",E,"$310,290","$827,106,569"
198,"Butterfly, Oregon silverspot (Speyeria zerene hippolyta)",T,"$309,817","$827,416,386"
199,"Petrel, Hawaiian dark-rumped (Pterodroma phaeopygia sandwichensis)",E,"$307,052","$827,723,438"
200,"Bat, little Mariana fruit (Pteropus tokudae)",E,"$301,600","$828,025,038"
201,"Rabbit, riparian brush (Sylvilagus bachmani riparius)",E,"$301,413","$828,326,451"
202,"Abalone, White (Haliotis sorenseni)North America (West Coast from Point Conception, CA, U.S.A., to PuntaAbreojos, Baja California, Mexico)",E,"$300,501","$828,626,952"
203,"Kangaroo rat, giant (Dipodomys ingens)",E,"$300,272","$828,927,224"
204,"Rail, light-footed clapper (Rallus longirostris levipes)U.S.A. only",E,"$299,190","$829,226,414"
205,"Butterfly, Saint Francis' satyr (Neonympha mitchellii francisci)",E,"$294,008","$829,520,422"
206,"Wedgemussel, dwarf (Alasmidonta heterodon)",E,"$293,106","$829,813,528"
207,"Falcon, northern aplomado (Falco femoralis septentrionalis)Southwestern population",EXPN,"$291,964","$830,105,492"
208,"Darter, Okaloosa (Etheostoma okaloosae)",E,"$288,916","$830,394,408"
209,"Warbler, nightingale reed (old world warbler) (Acrocephalus luscinia)",E,"$287,963","$830,682,371"
210,"Sunflower, Pecos (=puzzle, =paradox) (Helianthus paradoxus)",T,"$282,242","$830,964,613"
211,"Pupfish, desert (Cyprinodon macularius)",E,"$282,153","$831,246,766"
212,"Squirrel, northern Idaho ground (Spermophilus brunneus brunneus)",T,"$281,932","$831,528,698"
213,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi)",E,"$280,450","$831,809,148"
214,"White-eye, Rota bridled (Zosterops rotensis)",E,"$272,767","$832,081,915"
215,"Rabbit, pygmy (Brachylagus idahoensis)Columbia Basin DPS",E,"$271,461","$832,353,376"
216,"Coneflower, smooth (Echinacea laevigata)",E,"$267,093","$832,620,469"
217,"Piperia, Yadon's (Piperia yadonii)",E,"$266,701","$832,887,170"
218,"Toad, Houston (Bufo houstonensis)",E,"$266,015","$833,153,185"
219,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"$265,664","$833,418,849"
220,"Squirrel, Mount Graham red (Tamiasciurus hudsonicus grahamensis)",E,"$265,150","$833,683,999"
221,Popolo ku mai (Solanum incompletum),E,"$263,501","$833,947,500"
222,Vigna o-wahuensis (=Sci name),E,"$260,358","$834,207,858"
223,"Combshell, Cumberlandian (Epioblasma brevidens)Entire Range; Except where listed as Experimental Populations",E,"$259,168","$834,467,026"
224,"Squirrel, Virginia northern flying (Glaucomys sabrinus fuscus)",E,"$258,901","$834,725,927"
225,"Pigtoe, shiny (Fusconaia cor)Entire Range; Except where listed as Experimental Populations",E,"$258,581","$834,984,508"
226,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$257,373","$835,241,881"
227,Po`e (Portulaca sclerocarpa),E,"$257,286","$835,499,167"
228,Neraudia ovata (=Sci name),E,"$255,297","$835,754,464"
229,Stenogyne angustifolia var. angustifolia (=Sci name),E,"$249,869","$836,004,333"
230,Cui-ui (Chasmistes cujus),E,"$247,821","$836,252,154"
231,"Wild-rice, Texas (Zizania texana)",E,"$247,550","$836,499,704"
232,Silene hawaiiensis (=Sci name),T,"$247,539","$836,747,243"
233,A`e (Zanthoxylum hawaiiense),E,"$247,349","$836,994,592"
234,Silene lanceolata (=Sci name),E,"$245,739","$837,240,331"
235,Honohono (Haplostachys haplostachya),E,"$243,704","$837,484,035"
236,"Duck, Laysan (Anas laysanensis)",E,"$242,770","$837,726,805"
237,Asplenium fragile var. insulare (=Sci name),E,"$242,383","$837,969,188"
238,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",E,"$241,269","$838,210,457"
239,"Pocketbook, fat (Potamilus capax)",E,"$241,011","$838,451,468"
240,Kio`ele (Hedyotis coriacea),E,"$240,641","$838,692,109"
241,"Daisy, Willamette (Erigeron decumbens var. decumbens)",E,"$239,975","$838,932,084"
242,"Pigtoe, finerayed (Fusconaia cuneolus)Entire Range; Except where listed as Experimental Populations",E,"$239,664","$839,171,748"
243,Tetramolopium arenarium (=Sci name),E,"$238,939","$839,410,687"
244,"Orchid, western prairie fringed (Platanthera praeclara)",T,"$237,145","$839,647,832"
245,Lipochaeta venosa (=Sci name),E,"$237,089","$839,884,921"
246,"Bluecurls, Hidden Lake (Trichostema austromontanum ssp.compactum)",T,"$236,321","$840,121,242"
247,Aupaka (Isodendrion hosakae),E,"$234,141","$840,355,383"
248,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"$232,726","$840,588,109"
249,"Mussel, oyster (Epioblasma capsaeformis)Entire Range; Except where listed as Experimental Populations",E,"$232,391","$840,820,500"
250,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"$230,444","$841,050,944"
251,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",E,"$230,327","$841,281,271"
252,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"$227,112","$841,508,383"
253,Fanshell (Cyprogenia stegaria),E,"$225,521","$841,733,904"
254,"Meshweaver, Madla's Cave (Cicurina madla)",E,"$223,560","$841,957,464"
255,"Rabbitsfoot, rough (Quadrula cylindrica strigillata)",E,"$222,149","$842,179,613"
256,"Milk-vetch, Lane Mountain (Astragalus jaegerianus)",E,"$221,865","$842,401,478"
257,"Clubshell (Pleurobema clava)Entire Range; Except where listed as Experimental Populations",E,"$221,663","$842,623,141"
258,"Salamander, California tiger (Ambystoma californiense)U.S.A. (CA - Sonoma County)",E,"$216,894","$842,840,035"
259,"Amole, purple (Chlorogalum purpureum)",T,"$214,186","$843,054,221"
260,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)",E,"$211,855","$843,266,076"
261,"Minnow, Devils River (Dionda diaboli)",T,"$209,826","$843,475,902"
262,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"$208,401","$843,684,303"
263,"Dace, Moapa (Moapa coriacea)",E,"$207,174","$843,891,477"
264,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"$206,434","$844,097,911"
265,"Darter, fountain (Etheostoma fonticola)",E,"$204,113","$844,302,024"
266,"Blackbird, yellow-shouldered (Agelaius xanthomus)",E,"$204,100","$844,506,124"
267,"Pearlymussel, cracking (Hemistena lata)Entire Range; Except where listed as Experimental Populations",E,"$203,743","$844,709,867"
268,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",E,"$203,715","$844,913,582"
269,"Butterfly, Palos Verdes blue (Glaucopsyche lygdamuspalosverdesensis)",E,"$203,663","$845,117,245"
270,"Pearlymussel, birdwing (Conradilla caelata)Entire Range; Except where listed as Experimental Populations",E,"$202,943","$845,320,188"
271,"Pygmy-owl, cactus ferruginous (Glaucidium brasilianum cactorum)AZ pop.",DO,"$202,712","$845,522,900"
272,"Dace, blackside (Phoxinus cumberlandensis)",T,"$202,550","$845,725,450"
273,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"$201,464","$845,926,914"
274,"Salamander, California tiger (Ambystoma californiense)U.S.A. (CA - Santa Barbara County)",E,"$200,451","$846,127,365"
275,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"$199,900","$846,327,265"
276,"Pearlymussel, dromedary (Dromus dromas)Entire Range; Except where listed as Experimental Populations",E,"$198,451","$846,525,716"
277,"Potato-bean, Price's (Apios priceana)",T,"$197,555","$846,723,271"
278,"Amaranth, seabeach (Amaranthus pumilus)",T,"$193,962","$846,917,233"
279,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendiivirginianus)",E,"$192,811","$847,110,044"
280,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"$192,121","$847,302,165"
281,"Loosestrife, rough-leaved (Lysimachia asperulaefolia)",E,"$191,430","$847,493,595"
282,"Monkeyface, Cumberland (pearlymussel) (Quadrula intermedia)Entire Range; Except where listed as Experimental Populations",E,"$191,364","$847,684,959"
283,"Sumac, Michaux's (Rhus michauxii)",E,"$190,841","$847,875,800"
284,"Clover, running buffalo (Trifolium stoloniferum)",E,"$190,386","$848,066,186"
285,"Mussel, scaleshell (Leptodea leptodon)",E,"$188,751","$848,254,937"
286,"Fox, Santa Rosa Island (Urocyon littoralis santarosae)",E,"$187,953","$848,442,890"
