Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
151,"Sea turtle, olive ridley (Lepidochelys olivacea)except where endangered",T,"$569,508","$863,674,310"
152,"Shiner, Topeka (Notropis topeka (=tristis))",E,"$565,995","$864,240,305"
153,"Wartyback, white (pearlymussel) (Plethobasus cicatricosus)",E,"$561,270","$864,801,575"
154,"Darter, Etowah (Etheostoma etowahae)",E,"$548,450","$865,350,025"
155,"Grass, Tennessee yellow-eyed (Xyris tennesseensis)",E,"$546,825","$865,896,850"
156,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"$535,822","$866,432,672"
157,"Seagrass, Johnson's (Halophila johnsonii)",T,"$534,181","$866,966,853"
158,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylum croceum)",E,"$516,176","$867,483,029"
159,"Catchfly, Spalding's (Silene spaldingii)",T,"$510,777","$867,993,806"
160,"Wolf, red (Canis rufus)except where EXPN",E,"$508,354","$868,502,160"
161,"Crane, whooping (Grus americana)U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)",EXPN,"$493,277","$868,995,437"
162,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",E,"$489,801","$869,485,238"
163,"Rail, Guam (Rallus owstoni)except Rota",E,"$478,663","$869,963,901"
164,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$471,992","$870,435,893"
165,"Prairie dog, Utah (Cynomys parvidens)",T,"$468,523","$870,904,416"
166,"Logperch, Roanoke (Percina rex)",E,"$459,153","$871,363,569"
167,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii (=var. kincaidii))",T,"$458,641","$871,822,210"
168,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"$438,992","$872,261,202"
169,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",E,"$436,815","$872,698,017"
170,"Duck, Laysan (Anas laysanensis)",E,"$436,200","$873,134,217"
171,"Crane, Mississippi sandhill (Grus canadensis pulla)",E,"$428,100","$873,562,317"
172,"Rail, California clapper (Rallus longirostris obsoletus)",E,"$420,335","$873,982,652"
173,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"$411,000","$874,393,652"
174,Pondberry (Lindera melissifolia),E,"$404,602","$874,798,254"
175,"Salamander, Barton Springs (Eurycea sosorum)",E,"$404,300","$875,202,554"
176,"Alligator, American (Alligator mississippiensis)",SAT,"$402,351","$875,604,905"
177,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e. wrighti))",E,"$401,222","$876,006,127"
178,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"$397,364","$876,403,491"
179,"Squirrel, northern Idaho ground (Spermophilus brunneus brunneus)",T,"$396,504","$876,799,995"
180,"Pupfish, Warm Springs (Cyprinodon nevadensis pectoralis)",E,"$386,215","$877,186,210"
181,"Fox, San Miguel Island (Urocyon littoralis littoralis)",E,"$384,705","$877,570,915"
182,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"$383,715","$877,954,630"
183,"Eider, spectacled (Somateria fischeri)",T,"$379,750","$878,334,380"
184,"Fox, Santa Cruz Island (Urocyon littoralis santacruzae)",E,"$379,308","$878,713,688"
185,Palila (honeycreeper) (Loxioides bailleui),E,"$371,615","$879,085,303"
186,"Frog, mountain yellow-legged (Rana muscosa)southern California DPS",E,"$366,575","$879,451,878"
187,"Rabbit, riparian brush (Sylvilagus bachmani riparius)",E,"$359,440","$879,811,318"
188,"Heelsplitter, Carolina (Lasmigona decorata)",E,"$354,860","$880,166,178"
189,"Otter, Northern Sea (Enhydra lutris kenyoni)southwest Alaska DPS",T,"$352,317","$880,518,495"
190,"Fritillary, Gentner's (Fritillaria gentneri)",E,"$351,169","$880,869,664"
191,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"$348,260","$881,217,924"
192,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,"$347,639","$881,565,563"
193,Vigna o-wahuensis (=Sci name),E,"$346,502","$881,912,065"
194,"Darter, fountain (Etheostoma fonticola)",E,"$342,539","$882,254,604"
195,"Pocketbook, fat (Potamilus capax)",E,"$341,230","$882,595,834"
196,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"$340,445","$882,936,279"
197,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"$338,608","$883,274,887"
198,"Chub, Oregon (Oregonichthys crameri)",E,"$337,562","$883,612,449"
199,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",E,"$337,132","$883,949,581"
200,"Salamander, California tiger (Ambystoma californiense)U.S.A. (CA - Santa Barbara County)",E,"$335,706","$884,285,287"
201,"Clubshell (Pleurobema clava)Entire Range; Except where listed as Experimental Populations",E,"$329,090","$884,614,377"
202,"Swiftlet, Mariana gray (Aerodramus vanikorensis bartschi)",E,"$325,048","$884,939,425"
203,"Otter, southern sea (Enhydra lutris nereis)except where EXPN",T,"$317,657","$885,257,082"
204,"Sturgeon, North American green (Acipenser medirostris)U.S.A. (CA) Southern Distinct Population Segment",T,"$317,257","$885,574,339"
