"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
,59,,,"Plover, western snowy (Charadrius alexandrinus nivosus) - Pacific coastal pop.",,,T,,,"$4,697,911",,,"868,022,743",
60,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - CA coastal",T,"$4,675,133","$872,697,876",,,,,,,,,,
,61,,,Steelhead (Oncorhynchus (=Salmo) mykiss) - central CA coast,,,T,,,"$4,636,177",,,"877,334,053",
62,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"$4,569,131","$881,903,184",,,,,,,,,,
,63,,,"Whale, sperm (Physeter catodon (=macrocephalus))",,,E,,,"$4,432,830",,,"886,336,014",
64,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"$4,280,684","$890,616,698",,,,,,,,,,
,65,,,"Chub, bonytail (Gila elegans) - entire",,,E,,,"$4,236,525",,,"894,853,223",
66,"Whale, blue (Balaenoptera musculus)",E,"$4,198,058","$899,051,281",,,,,,,,,,
,67,,,"Lynx, Canada (Lynx canadensis) - Contiguous U.S. DPS",,,T,,,"$4,191,798",,,"903,243,079",
68,"Whale, Sei (Balaenoptera borealis)",E,"$4,147,048","$907,390,127",,,,,,,,,,
,69,,,"scrub-jay, Florida (Aphelocoma coerulescens)",,,T,,,"$3,997,085",,,"911,387,212",
70,"Whale, finback (Balaenoptera physalus)",E,"$3,814,423","$915,201,635",,,,,,,,,,
,71,,,"Sturgeon, North American green (Acipenser medirostris) - CA -Southern DPS",,,T,,,"$3,658,452",,,"918,860,087",
72,"Tortoise, gopher (Gopherus polyphemus) - W of of Mobile/Tombigbee Rs.",T,"$3,588,732","$922,448,819",,,,,,,,,,
73,73,,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius) - except Salt and Verde R.",,E,E,"$3,573,523","$3,573,523","$926,022,342","926,022,342",,,,
,,,,"drainages, AZ",,,,,,,,,,
74,"Snake, giant garter (Thamnophis gigas)",T,"$3,490,313","$929,512,655",,,,,,,,,,
,75,,,"Eider, Steller's (Polysticta stelleri) - AK breeding pop.",,,T,,,"$2,834,912",,,"932,347,567",
76,"Whale, bowhead (Balaena mysticetus)",E,"$2,821,352","$935,168,919",,,,,,,,,,
,77,,,"Ladies'-tresses, Ute (Spiranthes diluvialis)",,,T,,,"$2,789,999",,,"937,958,918",
78,"Smelt, delta (Hypomesus transpacificus)",T,"$2,784,587","$940,743,505",,,,,,,,,,
,79,,,"Frog, California red-legged (Rana draytonii) - Entire",,,T,,,"$2,732,668",,,"943,476,173",
80,"Owl, Mexican spotted (Strix occidentalis lucida)",T,"$2,602,947","$946,079,120",,,,,,,,,,
,81,,,"Sucker, Lost River (Deltistes luxatus)",,,E,,,"$2,577,801",,,"948,656,921",
82,"Whale, killer (Orcinus orca) - Southern Resident DPS",E,"$2,569,693","$951,226,614",,,,,,,,,,
,83,,,"Coral, staghorn (Acropora cervicornis)",,,T,,,"$2,560,317",,,"953,786,931",
84,"Sucker, shortnose (Chasmistes brevirostris)",E,"$2,499,067","$956,285,998",,,,,,,,,,
,85,,,"Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)",,,T,,,"$2,495,323",,,"958,781,321",
86,"Snake, eastern indigo (Drymarchon corais couperi)",T,"$2,460,953","$961,242,274",,,,,,,,,,
,87,,,"Coral, elkhorn (Acropora palmata)",,,T,,,"$2,460,760",,,"963,703,034",
88,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"$2,320,107","$966,023,141",,,,,,,,,,
,89,,,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",,,E,,,"$2,251,896",,,"968,275,037",
90,"Crane, whooping (Grus americana) - CO, ID, FL, NM, UT, and western WY",EXPN,"$2,240,579","$970,515,616",,,,,,,,,,
,91,,,"Salamander, California tiger (Ambystoma californiense) - CA - Sonoma County",,,E,,,"$2,207,619",,,"972,723,235",
92,"Stork, wood (Mycteria americana) - AL, FL, GA, SC",E,"$2,006,896","$974,730,131",,,,,,,,,,
,93,,,"Fairy shrimp, vernal pool (Branchinecta lynchi)",,,T,,,"$1,978,888",,,"976,709,019",
94,"Bear, Louisiana black (Ursus americanus luteolus)",T,"$1,915,352","$978,624,371",,,,,,,,,,
,95,,,"Parrot, Puerto Rican (Amazona vittata)",,,E,,,"$1,915,235",,,"980,539,606",
96,"Bear, grizzly (Ursus arctos horribilis) - EXPN, non-essential portions of ID and MT",EXPN,"$1,899,104","$982,438,710",,,,,,,,,,
,97,,,"Goldfields, Contra Costa (Lasthenia conjugens)",,,E,,,"$1,855,592",,,"984,294,302",
98,"Wolf, gray (Canis lupus) - WY, ID, MT",EXPN,"$1,829,149","$986,123,451",,,,,,,,,,
,99,,,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",,,E,,,"$1,740,019",,,"987,863,470",
100,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"$1,729,106","$989,592,576",,,,,,,,,,
,101,,,Palila (honeycreeper) (Loxioides bailleui),,,E,,,"$1,720,585",,,"991,313,161",
102,"Prairie dog, Utah (Cynomys parvidens)",T,"$1,720,072","$993,033,233",,,,,,,,,,
,103,,,"Rail, Yuma clapper (Rallus longirostris yumanensis) - U.S.A. only",,,E,,,"$1,676,931",,,"994,710,164",
104,"Wolf, Mexican gray (Canis lupus baileyi) - portions of AZ, NM and TX",EXPN,"$1,628,931","$996,339,095",,,,,,,,,,
,105,,,"Condor, California (Gymnogyps californianus) - U.S.A. only",,,E,,,"$1,601,115",,,"997,940,210",
106,"Toad, arroyo (=arroyo southwestern) (Bufo californicus (=microscaphus))",E,"$1,576,429","$999,516,639",,,,,,,,,,
,107,,,"Wolf, gray (Canis lupus) - MN",,,T,,,"$1,560,262",,,"1,001,076,901",
108,"Sawfish, smalltooth (Pristis pectinata)",E,"$1,555,876","$1,002,632,777",,,,,,,,,,
,109,,,"Fox, San Joaquin kit (Vulpes macrotis mutica)",,,E,,,"$1,528,053",,,"1,004,160,830",
110,"Darter, Okaloosa (Etheostoma okaloosae)",E,"$1,506,235","$1,005,667,065",,,,,,,,,,
73,73,,,,,,,,,,,,,
E,E,,,,,,,,,,,,,
"$3,573,523","$3,573,523",,,,,,,,,,,,,
"$926,022,342","926,022,342",,,,,,,,,,,,,
,,,,,,,,,,Total,Total,,,
111,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"$1,488,530","$1,007,155,595",,,,,,,,,,
,112,,,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",,,E,,,"$1,476,106",,,"1,008,631,701",
113,"Alligator, American (Alligator mississippiensis)",SAT,"$1,446,653","$1,010,078,354",,,,,,,,,,
114,114,,"Crane, whooping (Grus americana) - AL, AR, GA, IL, IN, IA, KY, LA, MI, MN, MS,",,EXPN,EXPN,"$1,443,841","$1,443,841","$1,011,522,195","1,011,522,195",,,,
,,,,"MO, NC, OH, SC, TN, VA, WI, WV",,,,,,,,,,
115,"Seagrass, Johnson's (Halophila johnsonii)",T,"$1,443,585","$1,012,965,780",,,,,,,,,,
,116,,,"Salamander, California tiger (Ambystoma californiense) - Central CA DPS",,,T,,,"$1,392,458",,,"1,014,358,238",
