"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
,581,,,"bladderpod, Missouri (Physaria filiformis)",,,T,,,"$61,363",,,"1,150,027,733",
582.0,"Ambrosia, south Texas (Ambrosia cheiranthifolia)",E,"$61,262","$1,150,088,995",,,,,,,,,,
,583,,,"Spinedace, White River (Lepidomeda albivallis)",,,E,,,"$60,548",,,"1,150,149,543",
584.0,Kauila (Colubrina oppositifolia),E,"$60,447","$1,150,209,990",,,,,,,,,,
,585,,,"Aster, decurrent false (Boltonia decurrens)",,,T,,,"$59,942",,,"1,150,269,932",
586.0,"Tern, roseate (Sterna dougallii dougallii) - Western Hemisphere except NE U.S.",T,"$59,776","$1,150,329,708",,,,,,,,,,
,587,,,"Evening-primrose, Antioch Dunes (Oenothera deltoides ssp. howellii)",,,E,,,"$59,517",,,"1,150,389,225",
588.0,"Tiger beetle, Ohlone (Cicindela ohlone)",E,"$59,369","$1,150,448,594",,,,,,,,,,
,589,,,"Moorhen, Mariana common (Gallinula chloropus guami)",,,E,,,"$59,291",,,"1,150,507,885",
590.0,"Slabshell, Chipola (Elliptio chipolaensis)",T,"$59,220","$1,150,567,105",,,,,,,,,,
,591,,,"Dace, Foskett speckled (Rhinichthys osculus ssp.) - Foskett",,,T,,,"$59,100",,,"1,150,626,205",
592.0,"Shiner, blue (Cyprinella caerulea)",T,"$58,849","$1,150,685,054",,,,,,,,,,
,593,,,"Boa, Puerto Rican (Epicrates inornatus)",,,E,,,"$58,774",,,"1,150,743,828",
594.0,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)",E,"$58,392","$1,150,802,220",,,,,,,,,,
,595,,,"Pocketbook, speckled (Lampsilis streckeri)",,,E,,,"$58,326",,,"1,150,860,546",
596.0,"Milk-vetch, Shivwits (Astragalus ampullarioides)",E,"$57,100","$1,150,917,646",,,,,,,,,,
,597,,,"Watercress, Gambel's (Rorippa gambellii)",,,E,,,"$56,944",,,"1,150,974,590",
598.0,"Moth, Blackburn's sphinx (Manduca blackburni)",E,"$56,416","$1,151,031,006",,,,,,,,,,
,599,,,"Rosemary, Etonia (Conradina etonia)",,,E,,,"$56,250",,,"1,151,087,256",
600.0,"Pennyroyal, Todsen's (Hedeoma todsenii)",E,"$56,100","$1,151,143,356",,,,,,,,,,
,601,,,"Spineflower, Sonoma (Chorizanthe valida)",,,E,,,"$56,016",,,"1,151,199,372",
602.0,"Chub, Sonora (Gila ditaenia)",T,"$55,930","$1,151,255,302",,,,,,,,,,
,603,,,"Chub, Chihuahua (Gila nigrescens)",,,T,,,"$55,519",,,"1,151,310,821",
604.0,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"$55,500","$1,151,366,321",,,,,,,,,,
,605,,,"Mesa-mint, San Diego (Pogogyne abramsii)",,,E,,,"$55,464",,,"1,151,421,785",
606.0,Alani (Melicope adscendens),E,"$55,337","$1,151,477,122",,,,,,,,,,
,607,,,"Springfish, Hiko White River (Crenichthys baileyi grandis)",,,E,,,"$55,246",,,"1,151,532,368",
608.0,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi)",E,"$54,947","$1,151,587,315",,,,,,,,,,
,609,,,"Thistle, Sacramento Mountains (Cirsium vinaceum)",,,T,,,"$54,882",,,"1,151,642,197",
610.0,Uhiuhi (Caesalpinia kavaiense),E,"$54,689","$1,151,696,886",,,,,,,,,,
,611,,,"Millerbird, Nihoa (old world warbler) (Acrocephalus familiaris kingi)",,,E,,,"$53,814",,,"1,151,750,700",
612.0,"Logperch, Conasauga (Percina jenkinsi)",E,"$53,500","$1,151,804,200",,,,,,,,,,
,613,,,"Penstemon, blowout (Penstemon haydenii)",,,E,,,"$53,311",,,"1,151,857,511",
,614,,,"Orcutt grass, California (Orcuttia californica)",,,E,,,"$52,977",,,"1,151,910,488",
615.0,"Trout, Little Kern golden (Oncorhynchus aguabonita whitei)",T,"$52,687","$1,151,963,175",,,,,,,,,,
,616,,,"Yerba santa, Lompoc (Eriodictyon capitatum)",,,E,,,"$52,663",,,"1,152,015,838",
617.0,Pigeon wings (Clitoria fragrans),T,"$52,650","$1,152,068,488",,,,,,,,,,
,618,,,"Akepa, Hawaii (honeycreeper) (Loxops coccineus coccineus)",,,E,,,"$52,002",,,"1,152,120,490",
619.0,"Milk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",E,"$51,900","$1,152,172,390",,,,,,,,,,
,620,,,"Bush-clover, prairie (Lespedeza leptostachya)",,,T,,,"$51,520",,,"1,152,223,910",
621.0,"Lupine, scrub (Lupinus aridorum)",E,"$51,350","$1,152,275,260",,,,,,,,,,
,622,,,"Clarkia, Vine Hill (Clarkia imbricata)",,,E,,,"$51,343",,,"1,152,326,603",
623.0,"Moccasinshell, Alabama (Medionidus acutissimus)",T,"$51,095","$1,152,377,698",,,,,,,,,,
,624,,,"Creeper, Hawaii (Oreomystis mana)",,,E,,,"$51,002",,,"1,152,428,700",
625.0,"Niterwort, Amargosa (Nitrophila mohavensis)",E,"$50,905","$1,152,479,605",,,,,,,,,,
,626,,,Alani (Melicope knudsenii),,,E,,,"$50,800",,,"1,152,530,405",
627.0,"Kangaroo rat, Morro Bay (Dipodomys heermanni morroensis)",E,"$50,738","$1,152,581,143",,,,,,,,,,
,628,,,"Shiner, Cape Fear (Notropis mekistocholas)",,,E,,,"$50,534",,,"1,152,631,677",
629.0,"Sucker, Modoc (Catostomus microps)",E,"$50,316","$1,152,681,993",,,,,,,,,,
,630,,,"Clarkia, Presidio (Clarkia franciscana)",,,E,,,"$49,835",,,"1,152,731,828",
631.0,"Manzanita, Del Mar (Arctostaphylos glandulosa ssp. crassifolia)",E,"$49,769","$1,152,781,597",,,,,,,,,,
,632,,,"Beaked-rush, Knieskern's (Rhynchospora knieskernii)",,,T,,,"$49,523",,,"1,152,831,120",
633.0,"Poolfish, Pahrump (Empetrichthys latos)",E,"$49,379","$1,152,880,499",,,,,,,,,,
,634,,,"Thistle, Suisun (Cirsium hydrophilum var. hydrophilum)",,,E,,,"$49,094",,,"1,152,929,593",
635.0,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia)",E,"$49,076","$1,152,978,669",,,,,,,,,,
,636,,,"Sandalwood, Lanai (=`iliahi) (Santalum freycinetianum var. lanaiense)",,,E,,,"$49,000",,,"1,153,027,669",
637.0,"Gambusia, Big Bend (Gambusia gaigei)",E,"$48,819","$1,153,076,488",,,,,,,,,,
,638,,,"Salamander, Cheat Mountain (Plethodon nettingi)",,,T,,,"$48,700",,,"1,153,125,188",
639.0,"Sandwort, Marsh (Arenaria paludicola)",E,"$48,425","$1,153,173,613",,,,,,,,,,
,640,,,Snakeroot (Eryngium cuneifolium),,,E,,,"$48,384",,,"1,153,221,997",
641.0,"Shrimp, California freshwater (Syncaris pacifica)",E,"$48,369","$1,153,270,366",,,,,,,,,,
,642,,,`Ahinahina (Argyroxiphium sandwicense ssp. macrocephalum),,,T,,,"$48,364",,,"1,153,318,730",
643.0,Po`ouli (honeycreeper) (Melamprosops phaeosoma),E,"$48,300","$1,153,367,030",,,,,,,,,,
,644,,,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",,,E,,,"$47,938",,,"1,153,414,968",
645.0,"Prairie-clover, leafy (Dalea foliosa)",E,"$47,809","$1,153,462,777",,,,,,,,,,
,646,,,"Seablite, California (Suaeda californica)",,,E,,,"$47,748",,,"1,153,510,525",
647.0,"Manioc, Walker's (Manihot walkerae)",E,"$47,700","$1,153,558,225",,,,,,,,,,
,648,,,"Phacelia, clay (Phacelia argillacea)",,,E,,,"$47,650",,,"1,153,605,875",
649.0,"Lizard, Coachella Valley fringe-toed (Uma inornata)",T,"$47,389","$1,153,653,264",,,,,,,,,,
,650,,,"Crayfish, cave (Cambarus zophonastes)",,,E,,,"$47,000",,,"1,153,700,264",
651.0,"Beetle, Mount Hermon June (Polyphylla barbata)",E,"$46,975","$1,153,747,239",,,,,,,,,,
,652,,,"Dace, Clover Valley speckled (Rhinichthys osculus oligoporus)",,,E,,,"$46,508",,,"1,153,793,747",
653.0,"Dropwort, Canby's (Oxypolis canbyi)",E,"$46,428","$1,153,840,175",,,,,,,,,,
,654,,,"Pupfish, Owens (Cyprinodon radiosus)",,,E,,,"$46,424",,,"1,153,886,599",
655.0,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensis mionectes)",E,"$46,322","$1,153,932,921",,,,,,,,,,
,656,,,"Nightjar, Puerto Rican (Caprimulgus noctitherus)",,,E,,,"$46,000",,,"1,153,978,921",
657.0,Akiapola`au (honeycreeper) (Hemignathus munroi),E,"$45,605","$1,154,024,526",,,,,,,,,,
,658,,,"Toad, Puerto Rican crested (Peltophryne lemur)",,,T,,,"$45,500",,,"1,154,070,026",
659.0,"Manzanita, pallid (Arctostaphylos pallida)",T,"$45,378","$1,154,115,404",,,,,,,,,,
,660,,,"Jewelflower, California (Caulanthus californicus)",,,E,,,"$44,650",,,"1,154,160,054",
661.0,"Madtom, yellowfin (Noturus flavipinnis) - except where EXPN",T,"$44,400","$1,154,204,454",,,,,,,,,,
,662,,,"Pocketbook, finelined (Lampsilis altilis)",,,T,,,"$44,137",,,"1,154,248,591",
663.0,Sandlace (Polygonella myriophylla),E,"$44,090","$1,154,292,681",,,,,,,,,,
,664,,,"Salamander, Texas blind (Typhlomolge rathbuni)",,,E,,,"$44,040",,,"1,154,336,721",
665.0,"Thornmint, San Mateo (Acanthomintha obovata ssp. duttonii)",E,"$43,998","$1,154,380,719",,,,,,,,,,
,666,,,"Meshweaver, Braken Bat Cave (Cicurina venii)",,,E,,,"$43,600",,,"1,154,424,319",
667.0,"Isopod, Lee County cave (Lirceus usdagalun)",E,"$43,500","$1,154,467,819",,,,,,,,,,
,668,,,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",,,E,,,"$43,366",,,"1,154,511,185",
669.0,"Duck, Laysan (Anas laysanensis)",E,"$43,253","$1,154,554,438",,,,,,,,,,
,670,,,"Harebells, Avon Park (Crotalaria avonensis)",,,E,,,"$42,850",,,"1,154,597,288",
671.0,"Arrowhead, bunched (Sagittaria fasciculata)",E,"$42,228","$1,154,639,516",,,,,,,,,,
,672,,,"Rhododendron, Chapman (Rhododendron chapmanii)",,,E,,,"$41,951",,,"1,154,681,467",
,673,,,Puma (=mountain lion) (Puma (=Felis) concolor (all subsp. except coryi)) - FL,,,SAT,,,"$41,661",,,"1,154,723,128",
674.0,"Rabbitsfoot, rough (Quadrula cylindrica strigillata)",E,"$41,599","$1,154,764,727",,,,,,,,,,
,675,,,"Lousewort, Furbish (Pedicularis furbishiae)",,,E,,,"$41,363",,,"1,154,806,090",
676.0,"Snail, Virginia fringed mountain (Polygyriscus virginianus)",E,"$41,100","$1,154,847,190",,,,,,,,,,
,677,,,"Sandwort, Cumberland (Arenaria cumberlandensis)",,,E,,,"$40,207",,,"1,154,887,397",
678.0,"Monkshood, northern wild (Aconitum noveboracense)",T,"$40,025","$1,154,927,422",,,,,,,,,,
,679,,,"Turtle, flattened musk (Sternotherus depressus) - species range clarified",,,T,,,"$39,865",,,"1,154,967,287",
680.0,`Oha wai (Clermontia lindseyana),E,"$39,441","$1,155,006,728",,,,,,,,,,
,681,,,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar)",,,E,,,"$39,295",,,"1,155,046,023",
682.0,"Wallflower, Contra Costa (Erysimum capitatum var. angustatum)",E,"$39,205","$1,155,085,228",,,,,,,,,,
,683,,,"Skipper, Pawnee montane (Hesperia leonardus montana)",,,T,,,"$39,079",,,"1,155,124,307",
684.0,"Lessingia, San Francisco (Lessingia germanorum (=L.g. var. germanorum))",E,"$39,011","$1,155,163,318",,,,,,,,,,
,685,,,"Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",,,E,,,"$38,978",,,"1,155,202,296",
686.0,Ha`iwale (Cyrtandra giffardii),E,"$38,804","$1,155,241,100",,,,,,,,,,
,687,,,Nukupu`u (honeycreeper) (Hemignathus lucidus),,,E,,,"$38,700",,,"1,155,279,800",
688.0,"Akepa, Maui (honeycreeper) (Loxops coccineus ochraceus)",E,"$38,600","$1,155,318,400",,,,,,,,,,
,689,,,"Pawpaw, four-petal (Asimina tetramera)",,,E,,,"$38,375",,,"1,155,356,775",
690.0,"Rock-cress, Braun's (Arabis perstellata)",E,"$38,113","$1,155,394,888",,,,,,,,,,
,691,,,"Riversnail, Anthony's (Athearnia anthonyi) – Entire; Except where EXPN",,,E,,,"$37,920",,,"1,155,432,808",
692.0,"Lizard, Island night (Xantusia riversiana)",T,"$37,859","$1,155,470,667",,,,,,,,,,
,693,,,"Wallflower, Menzies' (Erysimum menziesii)",,,E,,,"$37,500",,,"1,155,508,167",
693.0,"Aster, Ruth's golden (Pityopsis ruthii)",E,"$37,500","$1,155,545,667",,,,,,,,,,
,694,,,"Milk-vetch, Jesup's (Astragalus robbinsii var. jesupi)",,,E,,,"$37,350",,,"1,155,583,017",
695.0,"Cactus, San Rafael (Pediocactus despainii)",E,"$37,325","$1,155,620,342",,,,,,,,,,
,696,,,"Madtom, smoky (Noturus baileyi) - Entire",,,E,,,"$36,900",,,"1,155,657,242",
697.0,"Cactus, Winkler (Pediocactus winkleri)",T,"$36,550","$1,155,693,792",,,,,,,,,,
,698,,,"Blazingstar, scrub (Liatris ohlingerae)",,,E,,,"$36,100",,,"1,155,729,892",
699.0,"Clubshell, ovate (Pleurobema perovatum)",E,"$35,872","$1,155,765,764",,,,,,,,,,
,700,,,"Cactus, Tobusch fishhook (Ancistrocactus tobuschii)",,,E,,,"$35,650",,,"1,155,801,414",
701.0,"Snail, Chittenango ovate amber (Succinea chittenangoensis)",T,"$35,431","$1,155,836,845",,,,,,,,,,
,702,,,"Woodpecker, ivory-billed (Campephilus principalis) - Entire",,,E,,,"$35,371",,,"1,155,872,216",
703.0,"Stickseed, showy (Hackelia venusta)",E,"$34,946","$1,155,907,162",,,,,,,,,,
,704,,,"Rattlesnake, New Mexican ridge-nosed (Crotalus willardi obscurus)",,,T,,,"$34,530",,,"1,155,941,692",
705.0,Diellia mannii (=Sci name),E,"$34,500","$1,155,976,192",,,,,,,,,,
,706,,,"Larkspur, yellow (Delphinium luteum)",,,E,,,"$34,488",,,"1,156,010,680",
707.0,"Rock-cress, shale barren (Arabis serotina)",E,"$34,200","$1,156,044,880",,,,,,,,,,
,708,,,"Chub, Hutton tui (Gila bicolor ssp.) - Hutton",,,T,,,"$34,100",,,"1,156,078,980",
709.0,"Clover, showy Indian (Trifolium amoenum)",E,"$33,992","$1,156,112,972",,,,,,,,,,
,710,,,`Oha wai (Clermontia peleana),,,E,,,"$33,832",,,"1,156,146,804",
711.0,"Fiddleneck, large-flowered (Amsinckia grandiflora)",E,"$33,671","$1,156,180,475",,,,,,,,,,
,712,,,"Spider, spruce-fir moss (Microhexura montivaga)",,,E,,,"$33,600",,,"1,156,214,075",
713.0,"Beauty, Harper's (Harperocallis flava)",E,"$33,534","$1,156,247,609",,,,,,,,,,
,714,,,"Bear-poppy, Dwarf (Arctomecon humilis)",,,E,,,"$33,400",,,"1,156,281,009",
715.0,"Beargrass, Britton's (Nolina brittoniana)",E,"$33,390","$1,156,314,399",,,,,,,,,,
,716,,,"Bird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)",,,E,,,"$33,351",,,"1,156,347,750",
717.0,"Rock-cress, McDonald's (Arabis macdonaldiana)",E,"$33,200","$1,156,380,950",,,,,,,,,,
,718,,,Phyllostegia warshaueri (=Sci name),,,E,,,"$33,110",,,"1,156,414,060",
719.0,"Boa, Virgin Islands tree (Epicrates monensis granti)",E,"$32,500","$1,156,446,560",,,,,,,,,,
,720,,,"Morning-glory, Stebbins' (Calystegia stebbinsii)",,,E,,,"$32,494",,,"1,156,479,054",
721.0,"Darter, goldline (Percina aurolineata)",T,"$32,478","$1,156,511,532",,,,,,,,,,
,722,,,"`Akoko, Ewa Plains (Chamaesyce skottsbergii var. kalaeloana)",,,E,,,"$32,133",,,"1,156,543,665",
723.0,"Shrimp, Alabama cave (Palaemonias alabamae)",E,"$32,106","$1,156,575,771",,,,,,,,,,
,724,,,"Diellia, asplenium-leaved (Diellia erecta)",,,E,,,"$31,806",,,"1,156,607,577",
725.0,"Bat, Mexican long-nosed (Leptonycteris nivalis)",E,"$31,800","$1,156,639,377",,,,,,,,,,
,726,,,"Larkspur, Baker's (Delphinium bakeri)",,,E,,,"$31,794",,,"1,156,671,171",
727.0,"Lupine, Nipomo Mesa (Lupinus nipomensis)",E,"$31,619","$1,156,702,790",,,,,,,,,,
,728,,,"Butterfly, Uncompahgre fritillary (Boloria acrocnema)",,,E,,,"$31,551",,,"1,156,734,341",
729.0,"Twinpod, Dudley Bluffs (Physaria obcordata)",T,"$31,451","$1,156,765,792",,,,,,,,,,
,730,,,"Phlox, Yreka (Phlox hirsuta)",,,E,,,"$31,200",,,"1,156,796,992",
,731,,,"Manaca, palma de (Calyptronoma rivalis)",,,T,,,"$31,000",,,"1,156,827,992",
732.0,"Iris, dwarf lake (Iris lacustris)",T,"$30,800","$1,156,858,792",,,,,,,,,,
,733,,,"Kidneyshell, triangular (Ptychobranchus greenii)",,,E,,,"$30,686",,,"1,156,889,478",
734.0,"Dace, Kendall Warm Springs (Rhinichthys osculus thermalis)",E,"$30,600","$1,156,920,078",,,,,,,,,,
,735,,,"Pitcher-plant, green (Sarracenia oreophila)",,,E,,,"$30,353",,,"1,156,950,431",
736.0,Alani (Melicope mucronulata),E,"$30,151","$1,156,980,582",,,,,,,,,,
,737,,,"Chub, spotfin (Erimonax monachus) - Shoal Creek",,,EXPN,,,"$30,000",,,"1,157,010,582",
738.0,"Deer, key (Odocoileus virginianus clavium)",E,"$29,916","$1,157,040,498",,,,,,,,,,
,739,,,"Pigtoe, southern (Pleurobema georgianum)",,,E,,,"$29,819",,,"1,157,070,317",
740.0,"Spineflower, Robust (incl. Scotts Valley) (Chorizanthe robusta (incl. vars. robusta andhartwegii))",E,"$29,590","$1,157,099,907",,,,,,,,,,
,741,,,"Malacothrix, island (Malacothrix squalida)",,,E,,,"$29,464",,,"1,157,129,371",
742.0,"Turtle, ringed map (Graptemys oculifera)",T,"$29,300","$1,157,158,671",,,,,,,,,,
,743,,,"Bonamia, Florida (Bonamia grandiflora)",,,T,,,"$29,290",,,"1,157,187,961",
744.0,Nohoanu (Geranium kauaiense),E,"$29,198","$1,157,217,159",,,,,,,,,,
,745,,,"Mint, scrub (Dicerandra frutescens)",,,E,,,"$29,084",,,"1,157,246,243",
746.0,"Darter, relict (Etheostoma chienense)",E,"$29,000","$1,157,275,243",,,,,,,,,,
,747,,,"Joint-vetch, sensitive (Aeschynomene virginica)",,,T,,,"$28,868",,,"1,157,304,111",
748.0,"Malacothrix, Santa Cruz Island (Malacothrix indecora)",E,"$28,639","$1,157,332,750",,,,,,,,,,
,749,,,"wild buckwheat, clay-loving (Eriogonum pelinophilum)",,,E,,,"$28,472",,,"1,157,361,222",
750.0,"Rocksnail, painted (Leptoxis taeniata)",T,"$28,220","$1,157,389,442",,,,,,,,,,
,751,,,"Grass, Tennessee yellow-eyed (Xyris tennesseensis)",,,E,,,"$28,213",,,"1,157,417,655",
752.0,"Sneezeweed, Virginia (Helenium virginicum)",T,"$27,800","$1,157,445,455",,,,,,,,,,
,753,,,"Dogweed, ashy (Thymophylla tephroleuca)",,,E,,,"$27,721",,,"1,157,473,176",
754.0,"Gerardia, sandplain (Agalinis acuta)",E,"$27,683","$1,157,500,859",,,,,,,,,,
,755,,,"Mucket, orangenacre (Lampsilis perovalis)",,,T,,,"$27,555",,,"1,157,528,414",
756.0,"Liveforever, Laguna Beach (Dudleya stolonifera)",T,"$27,161","$1,157,555,575",,,,,,,,,,
,757,,,"Monkeyface, Appalachian (pearlymussel) (Quadrula sparsa)",,,E,,,"$27,133",,,"1,157,582,708",
758.0,"Falcon, northern aplomado (Falco femoralis septentrionalis) - Southwestern population",EXPN,"$27,000","$1,157,609,708",,,,,,,,,,
,759,,,`Oha wai (Clermontia drepanomorpha),,,E,,,"$26,974",,,"1,157,636,682",
760.0,"Rosemary, short-leaved (Conradina brevifolia)",E,"$26,950","$1,157,663,632",,,,,,,,,,
,761,,,"Lead-plant, Crenulate (Amorpha crenulata)",,,E,,,"$26,934",,,"1,157,690,566",
762.0,"Darter, snail (Percina tanasi)",T,"$26,708","$1,157,717,274",,,,,,,,,,
,763,,,"Ground-plum, Guthrie's (=Pyne's) (Astragalus bibullatus)",,,E,,,"$26,616",,,"1,157,743,890",
764.0,"Bladderpod, Spring Creek (Lesquerella perforata)",E,"$26,423","$1,157,770,313",,,,,,,,,,
,765,,,"Moth, Kern primrose sphinx (Euproserpinus euterpe)",,,T,,,"$26,387",,,"1,157,796,700",
766.0,Haha (Cyanea shipmanii),E,"$26,325","$1,157,823,025",,,,,,,,,,
,767,,,"Shiner, palezone (Notropis albizonatus)",,,E,,,"$26,297",,,"1,157,849,322",
768.0,"Snake, Atlantic salt marsh (Nerodia clarkii taeniata)",T,"$26,250","$1,157,875,572",,,,,,,,,,
,769,,,"Milk-vetch, Ash meadows (Astragalus phoenix)",,,T,,,"$26,003",,,"1,157,901,575",
770.0,"Iguana, Mona ground (Cyclura cornuta stejnegeri)",T,"$26,000","$1,157,927,575",,,,,,,,,,
,770,,,"Marstonia, royal (snail) (Pyrgulopsis ogmorhaphe)",,,E,,,"$26,000",,,"1,157,953,575",
771.0,"Phacelia, North Park (Phacelia formosula)",E,"$25,849","$1,157,979,424",,,,,,,,,,
,772,,,"Crayfish, Shasta (Pacifastacus fortis)",,,E,,,"$25,820",,,"1,158,005,244",
773.0,Phyllostegia parviflora (=Sci name),E,"$25,746","$1,158,030,990",,,,,,,,,,
,774,,,"Snake, Concho water (Nerodia paucimaculata)",,,T,,,"$25,700",,,"1,158,056,690",
775.0,"Towhee, Inyo California (Pipilo crissalis eremophilus)",T,"$25,470","$1,158,082,160",,,,,,,,,,
,776,,,"Milk-vetch, Ventura Marsh (Astragalus pycnostachyus var. lanosissimus)",,,E,,,"$25,251",,,"1,158,107,411",
777.0,Achyranthes mutica (=Sci name),E,"$25,224","$1,158,132,635",,,,,,,,,,
,778,,,"Mesa-mint, Otay (Pogogyne nudiuscula)",,,E,,,"$25,198",,,"1,158,157,833",
779.0,"Pigtoe, shiny (Fusconaia cor) - Entire ; Except where EXPN",E,"$25,020","$1,158,182,853",,,,,,,,,,
,779,,,"Pitcher-plant, Alabama canebrake (Sarracenia rubra alabamensis)",,,E,,,"$25,020",,,"1,158,207,873",
780.0,Ohai (Sesbania tomentosa),E,"$24,723","$1,158,232,596",,,,,,,,,,
,781,,,Alani (Melicope zahlbruckneri),,,E,,,"$24,689",,,"1,158,257,285",
782.0,`Oha wai (Clermontia pyrularia),E,"$24,687","$1,158,281,972",,,,,,,,,,
,783,,,"Snail, Stock Island tree (Orthalicus reses (not incl. nesodryas))",,,T,,,"$24,625",,,"1,158,306,597",
784.0,"Mint, Garrett's (Dicerandra christmanii)",E,"$24,250","$1,158,330,847",,,,,,,,,,
,785,,,"Centaury, spring-loving (Centaurium namophilum)",,,T,,,"$24,194",,,"1,158,355,041",
785.0,"Ivesia, Ash Meadows (Ivesia kingii var. eremica)",T,"$24,194","$1,158,379,235",,,,,,,,,,
,,,,,,,,,,Total,Total,,,
786.0,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii) - southern",SAT,"$24,126","$1,158,403,361",,,,,,,,,,
,787,,,"Bedstraw, island (Galium buxifolium)",,,E,,,"$23,872",,,"1,158,427,233",
788.0,Haha (Cyanea stictophylla),E,"$23,755","$1,158,450,988",,,,,,,,,,
,789,,,"Damselfly, flying earwig Hawaiian (Megalagrion nesiotes)",,,E,,,"$23,754",,,"1,158,474,742",
789.0,"Damselfly, Pacific Hawaiian (Megalagrion pacificum)",E,"$23,754","$1,158,498,496",,,,,,,,,,
,790,,,"Spineflower, Monterey (Chorizanthe pungens var. pungens)",,,T,,,"$23,657",,,"1,158,522,153",
791.0,"Plum, scrub (Prunus geniculata)",E,"$23,560","$1,158,545,713",,,,,,,,,,
,792,,,"Crayfish, Nashville (Orconectes shoupi)",,,E,,,"$23,213",,,"1,158,568,926",
793.0,Heau (Exocarpos luteolus),E,"$23,000","$1,158,591,926",,,,,,,,,,
,794,,,"Beardtongue, Penland (Penstemon penlandii)",,,E,,,"$22,908",,,"1,158,614,834",
795.0,"cactus, Pariette (Sclerocactus brevispinus)",T,"$22,600","$1,158,637,434",,,,,,,,,,
,796,,,"Acornshell, southern (Epioblasma othcaloogensis)",,,E,,,"$22,537",,,"1,158,659,971",
797.0,"Naucorid, Ash Meadows (Ambrysus amargosus)",T,"$21,716","$1,158,681,687",,,,,,,,,,
,798,,,"Crownbeard, big-leaved (Verbesina dissita)",,,T,,,"$21,634",,,"1,158,703,321",
799.0,"Butterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",E,"$21,583","$1,158,724,904",,,,,,,,,,
,800,,,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus) - DE, Sussex Co.",,,EXPN,,,"$21,561",,,"1,158,746,465",
801.0,"Butterfly, San Bruno elfin (Callophrys mossii bayensis)",E,"$21,424","$1,158,767,889",,,,,,,,,,
,802,,,"Bluegrass, Napa (Poa napensis)",,,E,,,"$21,292",,,"1,158,789,181",
803.0,"Spider, Government Canyon Bat Cave (Neoleptoneta microps)",E,"$21,260","$1,158,810,441",,,,,,,,,,
,804,,,`Anunu (Sicyos alba),,,E,,,"$21,254",,,"1,158,831,695",
805.0,"Coneflower, Tennessee purple (Echinacea tennesseensis)",E,"$21,110","$1,158,852,805",,,,,,,,,,
,806,,,"Lizard, St. Croix ground (Ameiva polops)",,,E,,,"$21,100",,,"1,158,873,905",
807.0,"Milk-vetch, Braunton's (Astragalus brauntonii)",E,"$20,960","$1,158,894,865",,,,,,,,,,
,808,,,"Gumplant, Ash Meadows (Grindelia fraxino-pratensis)",,,T,,,"$20,954",,,"1,158,915,819",
809.0,"Snail, Iowa Pleistocene (Discus macclintocki)",E,"$20,800","$1,158,936,619",,,,,,,,,,
,810,,,"Combshell, upland (Epioblasma metastriata)",,,E,,,"$20,672",,,"1,158,957,291",
811.0,"Frankenia, Johnston's (Frankenia johnstonii)",E,"$20,621","$1,158,977,912",,,,,,,,,,
,812,,,"Daisy, Parish's (Erigeron parishii)",,,T,,,"$20,620",,,"1,158,998,532",
813.0,"Ceanothus, coyote (Ceanothus ferrisae)",E,"$20,567","$1,159,019,099",,,,,,,,,,
,814,,,Haha (Cyanea hamatiflora ssp. carlsonii),,,E,,,"$20,524",,,"1,159,039,623",
815.0,"Ipomopsis, Holy Ghost (Ipomopsis sancti-spiritus)",E,"$20,500","$1,159,060,123",,,,,,,,,,
,816,,,"Grass, Eureka Dune (Swallenia alexandrae)",,,E,,,"$20,484",,,"1,159,080,607",
817.0,"Gooseberry, Miccosukee (Ribes echinellum)",T,"$20,100","$1,159,100,707",,,,,,,,,,
,817,,,"Milkpea, Small's (Galactia smallii)",,,E,,,"$20,100",,,"1,159,120,807",
818.0,"Goldenrod, Houghton's (Solidago houghtonii)",T,"$20,062","$1,159,140,869",,,,,,,,,,
