TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2007 FOR ENDANGERED AND THREATENEDSPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
,Crustaceans Subtotal,,"$125,800 ","$1,960,000 ","$2,085,800 ",$0 ,"$2,085,800 ",
,Crustaceans Subtotal Verified,,"$125,800 ","$1,960,000 ","$2,085,800 ",$0 ,"$2,085,800 ",
,,,,,,,,
36,"Bear-poppy, dwarf (Arctomecon humilis)",E,$0 ,"$667,000 ","$667,000 ",$0 ,"$667,000 ",Flowering Plants
84,"Bedstraw, El Dorado (Galium californicumssp. sierrae)",E,$0 ,"$53,000 ","$53,000 ",$0 ,"$53,000 ",Flowering Plants
91,"Bush-clover, prairie (Lespedezaleptostachya)",T,$0 ,$0 ,$0 ,"$25,000 ","$25,000 ",Flowering Plants
84,"Butterweed, Layne's (Senecio layneae)",T,$0 ,"$53,000 ","$53,000 ",$0 ,"$53,000 ",Flowering Plants
82,"Button-celery, San Diego (Eryngiumaristulatum var. parishii)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Flowering Plants
83,"Cactus, Key tree (Pilosocereus robinii)",E,"$58,300 ",$0 ,"$58,300 ",$0 ,"$58,300 ",Flowering Plants
84,"Checker-mallow, Keck's (Sidalcea keckii)",E,$0 ,"$53,000 ","$53,000 ",$0 ,"$53,000 ",Flowering Plants
88,"Checker-mallow, Nelson's (Sidalceanelsoniana)",T,"$40,000 ",$0 ,"$40,000 ",$0 ,"$40,000 ",Flowering Plants
99,"Clover, running buffalo (Trifoliumstoloniferum)",E,"$13,900 ",$0 ,"$13,900 ",$0 ,"$13,900 ",Flowering Plants
99,"Daisy, lakeside (Hymenoxys herbacea)",T,"$13,900 ",$0 ,"$13,900 ",$0 ,"$13,900 ",Flowering Plants
88,"Desert-parsley, Bradshaw's (Lomatiumbradshawii)",E,"$40,000 ",$0 ,"$40,000 ",$0 ,"$40,000 ",Flowering Plants
84,"Flannelbush, Pine Hill (Fremontodendroncalifornicum ssp. decumbens)",E,$0 ,"$53,000 ","$53,000 ",$0 ,"$53,000 ",Flowering Plants
98,"Grass, Colusa (Neostapfia colusana)",T,$0 ,"$15,000 ","$15,000 ",$0 ,"$15,000 ",Flowering Plants
31,"Howellia, water (Howellia aquatilis)",T,$0 ,$0 ,$0 ,"$1,000,000 ","$1,000,000 ",Flowering Plants
76,"Manioc, Walker's (Manihot walkerae)",E,"$103,200 ",$0 ,"$103,200 ",$0 ,"$103,200 ",Flowering Plants
82,"Mesa-mint, Otay (Pogogyne nudiuscula)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Flowering Plants
82,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Flowering Plants
36,"Milk-vetch, Holmgren (Astragalusholmgreniorum)",E,$0 ,"$667,000 ","$667,000 ",$0 ,"$667,000 ",Flowering Plants
75,"Monkshood, northern wild (Aconitumnoveboracense)",T,$0 ,$0 ,$0 ,"$110,000 ","$110,000 ",Flowering Plants
84,"Morning-glory, Stebbins' (Calystegiastebbinsii)",E,$0 ,"$53,000 ","$53,000 ",$0 ,"$53,000 ",Flowering Plants
99,"Orchid, eastern prairie fringed (Platantheraleucophaea)",T,"$13,900 ",$0 ,"$13,900 ",$0 ,"$13,900 ",Flowering Plants
92,"Orchid, western prairie fringed (Platantherapraeclara)",T,"$21,000 ",$0 ,"$21,000 ",$0 ,"$21,000 ",Flowering Plants
82,"Orcutt grass, California (Orcuttia californica)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Flowering Plants
98,"Orcutt grass, hairy (Orcuttia pilosa)",E,$0 ,"$15,000 ","$15,000 ",$0 ,"$15,000 ",Flowering Plants
31,"Paintbrush, golden (Castilleja levisecta)",T,$0 ,$0 ,$0 ,"$1,000,000 ","$1,000,000 ",Flowering Plants
100,"Pawpaw, four-petal (Asimina tetramera)",E,"$10,900 ",$0 ,"$10,900 ",$0 ,"$10,900 ",Flowering Plants
33,"Pink, swamp (Helonias bullata)",T,"$723,000 ",$0 ,"$723,000 ",$0 ,"$723,000 ",Flowering Plants
97,Pondberry (Lindera melissifolia),E,$0 ,$0 ,$0 ,"$16,500 ","$16,500 ",Flowering Plants
88,"Potato-bean, Price's (Apios priceana)",T,"$40,000 ",$0 ,"$40,000 ",$0 ,"$40,000 ",Flowering Plants
83,"Spurge, Garber's (Chamaesyce garberi)",T,"$58,300 ",$0 ,"$58,300 ",$0 ,"$58,300 ",Flowering Plants
78,"Water-umbel, Huachuca (Lilaeopsisschaffneriana var. recurva)",E,"$99,000 ",$0 ,"$99,000 ",$0 ,"$99,000 ",Flowering Plants
93,"Wooly-threads, San Joaquin (Monolopia(=Lembertia) congdonii)",E,$0 ,"$20,000 ","$20,000 ",$0 ,"$20,000 ",Flowering Plants
,Flowering Plants Subtotal,,"$1,487,000 ","$1,649,000 ","$3,136,000 ","$2,151,500 ","$5,287,500 ",
,Flowering Plants Subtotal Verified,,"$1,487,000 ","$1,649,000 ","$3,136,000 ","$2,151,500 ","$5,287,500 ",
,,,,,,,,
,Total Land Expenditures for FY2007,,"$23,473,400 ","$71,012,316 ","$94,485,716 ","$21,960,723 ","$116,446,439 ",
,Other ESA Expenses,,"$17,000 ","$2,840,560 ","$2,857,560 ","$6,800,000 ","$9,657,560 ",
,"Total Land/Other ESA Land Expenditures forFY2007",,"$23,473,400 ","$73,852,876 ","$97,326,276 ","$28,760,723 ","$126,086,999 ",
,,,,,,,,
,Total Land Expenditures for FY2007 Verified,,"$23,473,400 ","$71,012,316 ","$94,485,716 ","$21,960,723 ","$116,446,439 ",
,Other ESA Expenses Verified,,,,,,,
,Total Land/Other ESA Land Expenditures for FY2007 Verified,,,,,,,
