Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
,71,"Blazingstar, Ash Meadows (Mentzelia leucophylla) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,87,"Blazingstar, scrub (Liatris ohlingerae) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,77,"Blue-star, Kearney's (Amsonia kearneyana) - Wherever found",E,"$17,750",$0,"$17,750",$0,"$17,750"
,87,"Bonamia, Florida (Bonamia grandiflora) - Wherever found",T,"$1,174",$0,"$1,174",$0,"$1,174"
,87,"Buckwheat, scrub (Eriogonum longifolium var. gnaphalifolium) - Wherever found",T,"$1,174",$0,"$1,174",$0,"$1,174"
,46,"Bulrush, Northeastern (Scirpus ancistrochaetus) - Wherever found",E,"$272,190",$0,"$272,190","$108,000","$380,190"
,75,"Button-celery, San Diego (Eryngium aristulatum var. parishii) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,77,"Cactus, Pima pineapple (Coryphantha scheeri var. robustispina) - Wherever found",E,"$17,750",$0,"$17,750",$0,"$17,750"
,59,"Cactus, star (Astrophytum asterias) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,57,"Catchfly, Spalding's (Silene spaldingii) - Wherever found",T,"$227,500",$0,"$227,500",$0,"$227,500"
,71,"Centaury, spring-loving (Centaurium namophilum) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,82,"Checker-mallow, Nelson's (Sidalcea nelsoniana) - Wherever found",T,"$3,811",$0,"$3,811",$0,"$3,811"
,59,"Dogweed, ashy (Thymophylla tephroleuca) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,75,"Flannelbush, Mexican (Fremontodendron mexicanum) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,59,"Frankenia, Johnston's (Frankenia johnstonii) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,87,"Fringe-tree, pygmy (Chionanthus pygmaeus) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,56,"Howellia, water (Howellia aquatilis) - Wherever found",T,"$231,311",$0,"$231,311",$0,"$231,311"
,87,"Hypericum, highlands scrub (Hypericum cumulicola) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,41,"Iris, dwarf lake (Iris lacustris) - Wherever found",T,"$428,000",$0,"$428,000",$0,"$428,000"
,71,"Ivesia, Ash Meadows (Ivesia kingii var. eremica) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,49,"Jewelflower, Metcalf Canyon (Streptanthus albidus ssp. albidus) - Wherever found",E,$0,"$333,000","$333,000",$0,"$333,000"
,87,"Lupine, scrub (Lupinus aridorum) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,91,"Mallow, Kern (Eremalche kernensis) - Wherever found",E,$380,$0,$380,$0,$380
,59,"Manioc, Walker's (Manihot walkerae) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,75,"Mesa-mint, Otay (Pogogyne nudiuscula) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,75,"Mesa-mint, San Diego (Pogogyne abramsii) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,71,"Milk-vetch, Ash meadows (Astragalus phoenix) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,87,"Mint, Garrett's (Dicerandra christmanii) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,86,"Monkshood, northern wild (Aconitum noveboracense) - Wherever found",T,"$1,667",$0,"$1,667",$0,"$1,667"
,87,"Mustard, Carter's (Warea carteri) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,75,"Navarretia, spreading (Navarretia fossalis) - Wherever found",T,"$33,462",$0,"$33,462",$0,"$33,462"
,71,"Niterwort, Amargosa (Nitrophila mohavensis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,90,No Common Name (Geocarpon minimum) - Wherever found,T,$0,$0,$0,$500,$500
,79,"Orchid, eastern prairie fringed (Platanthera leucophaea) - Wherever found",T,"$16,000",$0,"$16,000",$0,"$16,000"
,45,"Orchid, western prairie fringed (Platanthera praeclara) - Wherever found",T,"$388,548",$0,"$388,548",$0,"$388,548"
,75,"Orcutt grass, California (Orcuttia californica) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,49,"Paintbrush, Tiburon (Castilleja affinis ssp. neglecta) - Wherever found",E,$0,"$333,000","$333,000",$0,"$333,000"
,87,Pigeon wings (Clitoria fragrans) - Wherever found,T,"$1,174",$0,"$1,174",$0,"$1,174"
,87.0,"Plum, scrub (Prunus geniculata) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,87.0,"Polygala, Lewton's (Polygala lewtonii) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,28.0,Pondberry (Lindera melissifolia) - Wherever found,E,"$935,644",$0,"$935,644","$49,700","$985,344"
,86.0,"Roseroot, Leedy's (Rhodiola integrifolia ssp. leedyi) - Wherever found",T,"$1,667",$0,"$1,667",$0,"$1,667"
,87.0,Sandlace (Polygonella myriophylla) - Wherever found,E,"$1,174",$0,"$1,174",$0,"$1,174"
,71.0,"Sunray, Ash Meadows (Enceliopsis nudicaulis var. corrugata) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,75.0,"Tarplant, Otay (Deinandra (=Hemizonia) conjugens) - Wherever found",T,"$33,462",$0,"$33,462",$0,"$33,462"
,75.0,"Thornmint, San Diego (Acanthomintha ilicifolia) - Wherever found",T,"$33,462",$0,"$33,462",$0,"$33,462"
,87.0,"Whitlow-wort, papery (Paronychia chartacea) - Wherever found",T,"$1,174",$0,"$1,174",$0,"$1,174"
,87.0,Wireweed (Polygonella basiramia) - Wherever found,E,"$1,174",$0,"$1,174",$0,"$1,174"
,87.0,"Ziziphus, Florida (Ziziphus celata) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
Flowering Plants subtotal,,,,"$4,427,038","$666,000","$5,093,038","$158,200","$5,251,238"
Lichens,87.0,"Cladonia, Florida perforate (Cladonia perforata) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
Lichens subtotal,,,,"$1,174",$0,"$1,174",$0,"$1,174"
Multi-species,,,,$0,"$5,025,281","$5,025,281","$1,291,937","$6,317,218"
,,,,"$28,381,990","$77,864,253","$106,246,243","$5,315,603","$111,561,846"
Multi-species subtotal,,,,$0,"$5,025,281","$5,025,281","$1,291,937","$6,317,218"
Total Land Expenditures,,,,"$28,381,990","$77,864,253","$106,246,243","$5,315,603","$111,561,846"
