RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL ($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
293,"Butterfly, mission blue",Icaricia icarioides missionensis,E,42.3,"$372,557.82",97.36%
294,Neraudia angulata (=Sci name),Neraudia angulata,E,42.02,"$372,599.85",97.37%
295,"Dawn-flower, Texas prairie",Hymenoxys texana,E,42.0,"$372,641.85",97.38%
296,"Trillium, relict",Trillium reliquum,E,41.85,"$372,683.70",97.39%
297,"Paintbrush, golden",Castilleja levisecta,T,41.51,"$372,725.21",97.41%
298,"Thistle, Pitcher's",Cirsium pitcheri,T,41.0,"$372,766.21",97.42%
299,"Darter, amber",Percina antesella,E,40.99,"$372,807.19",97.43%
300,"Wooly-threads, San Joaquin",Lembertia congdonii,E,40.3,"$372,847.49",97.44%
301,"Salamander, Santa Cruz long-toed",Ambystoma macrodactylum croceum,E,40.0,"$372,887.49",97.45%
302,"Hawk, Hawaiian (=io)",Buteo solitarius,E,39.75,"$372,927.24",97.46%
303,"Thistle, Chorro Creek",Cirsium fontinale var. obispoense,E,39.5,"$372,966.74",97.47%
304,"Beetle, northeastern beach tiger",Cicindela dorsalis dorsalis,T,38.9,"$373,005.64",97.48%
305,"Cactus, Bakersfield",Opuntia treleasei,E,38.8,"$373,044.44",97.49%
306,"Bat, Virginia big-eared",Plecotus townsendii virginianus,E,38.77,"$373,083.21",97.50%
307,"Pearlymussel, Curtis'",Epioblasma florentina curtisi,E,38.4,"$373,121.61",97.51%
308,"Orcutt grass, slender",Orcuttia tenuis,T,38.3,"$373,159.91",97.52%
309,"Bush-clover, prairie",Lespedeza leptostachya,T,37.13,"$373,197.04",97.53%
310,"Butterfly, Schaus swallowtail",Heraclides aristodemus ponceanus,E,36.64,"$373,233.68",97.54%
311,"Four-o'clock, MacFarlane's",Mirabilis macfarlanei,E,36.6,"$373,270.28",97.55%
311,"Gardenia, Hawaiian (na`u)",Gardenia brighamii,E,36.6,"$373,306.88",97.56%
313,"Darter, fountain",Etheostoma fonticola,E,36.5,"$373,343.38",97.57%
313,"Wild-rice, Texas",Zizania texana,E,36.5,"$373,379.88",97.58%
315,"Milkweed, Welsh's",Asclepias welshii,T,36.4,"$373,416.28",97.59%
316,"Hawk, Puerto Rican broad-winged",Buteo platypterus brunnescens,E,36.3,"$373,452.58",97.60%
317,"Fly, Delhi Sands flower-loving",Rhaphiomidas terminatus abdominalis,E,36.0,"$373,488.58",97.60%
317,"Rock-cress, McDonald's",Arabis mcdonaldiana,E,36.0,"$373,524.58",97.61%
319,"Ladies'-tresses, Canelo Hills (=Madrean)",Spiranthes delitescens,E,35.8,"$373,560.38",97.62%
320,"Limpet, Banbury Springs",Lanx sp.,E,35.8,"$373,596.18",97.63%
321,"Snail, Stock Island tree",Orthalicus reses,T,35.5,"$373,631.68",97.64%
322,"Quillwort, Louisiana",Isoetes louisianensis,E,35.23,"$373,666.90",97.65%
323,"Crayfish, Shasta (=placid)",Pacifastacus fortis,E,35.04,"$373,701.94",97.66%
324,"Indian paintbrush, San Clemente Island",Castilleja grisea,E,34.9,"$373,736.84",97.67%
325,"Gambusia, San Marcos",Gambusia georgei,E,34.5,"$373,771.34",97.68%
325,"Lily, Western",Lilium occidentale,E,34.5,"$373,805.84",97.69%
327,Kulu`i,Nototrichium humile,E,34.42,"$373,840.27",97.70%
328,"Pigtoe (mussel), oval",Pleurobema pyriforme,E,34.2,"$373,874.47",97.71%
329,"Mouse, Perdido Key beach",Peromyscus polionotus trissyllepsis,E,34.1,"$373,908.57",97.71%
330,"Kuahiwi, laukahi",Plantago princeps,E,34.0,"$373,942.57",97.72%
330,"Rockcress, Santa Cruz Island",Sibara filifolia,E,34.0,"$373,976.57",97.73%
330,"Woodland-star, San Clemente Island",Lithophragma maximum,E,34.0,"$374,010.57",97.74%
333,"Fairy shrimp, Conservancy",Branchinecta conservatio,E,33.3,"$374,043.87",97.75%
333,"Dwarf-flax, Marin",Hesperolinon congestum,T,33.3,"$374,077.17",97.76%
333,"Paintbrush, Tiburon",Castilleja affinis ssp. neglecta,E,33.3,"$374,110.47",97.77%
336,"Darter, boulder (=Elk River)",Etheostoma wapiti,E,33.2,"$374,143.67",97.78%
337,"Ma` ohau hele (=biscus, native yellow)",Hibiscus brackenridgei,E,32.8,"$374,176.47",97.78%
338,"Butterfly, Uncompahgre fritillary",Boloria acrocnema,E,32.7,"$374,209.17",97.79%
338,Bonamia menziesii (=Sci name),Bonamia menziesii,E,32.7,"$374,241.87",97.80%
340,Lobelia niihauensis (=Sci name),Lobelia niihauensis,E,32.5,"$374,274.37",97.81%
341,"Elktoe, Appalachian",Alasmidonta raveneliana,E,32.24,"$374,306.61",97.82%
342,"Cactus, Sneed pincushion",Coryphantha sneedii var. sneedii,E,32.0,"$374,338.61",97.83%
343,Sanicula purpurea (=Sci. name),Sanicula purpurea,E,31.75,"$374,370.36",97.84%
344,"Dace, desert",Eremichthys acros,T,31.5,"$374,401.86",97.84%
344,Nanu,Gardenia mannii,E,31.5,"$374,433.36",97.85%
346,"Bird's-beak, Pennell's",Cordylanthus tenuis ssp. capillaris,E,31.3,"$374,464.66",97.86%
346,"Ceanothus, coyote (=California-lilac, Coyote",Ceanothus ferrisae,E,31.3,"$374,495.96",97.87%
346,"Clarkia, Presidio",Clarkia franciscana,E,31.3,"$374,527.26",97.88%
346,"Dudleya, Santa Clara Valley",Dudleya setchellii,E,31.3,"$374,558.56",97.88%
346,"Jewelflower, Metcalf Canyon",Streptanthus albidus ssp. albidus,E,31.3,"$374,589.86",97.89%
346,"Jewelflower, Tiburon",Streptanthus niger,E,31.3,"$374,621.16",97.90%
346,"Mariposa lily, Tiburon",Calochortus tiburonensis,T,31.3,"$374,652.46",97.91%
346,"Pentachaeta, white-rayed",Pentachaeta bellidiflora,E,31.3,"$374,683.76",97.92%
346,"Sunflower, San Mateo woolly",Eriophyllum latilobum,E,31.3,"$374,715.06",97.93%
346,"Thistle, fountain",Cirsium fontinale var. fontinale,E,31.3,"$374,746.36",97.93%
356,"Clover, running buffalo",Trifolium stoloniferum,E,31.24,"$374,777.60",97.94%
357,"Sand-verbena, large-fruited",Abronia macrocarpa,E,31.0,"$374,808.60",97.95%
357,"Thornmint, San Mateo",Acanthomintha obovata ssp. duttonii,E,31.0,"$374,839.60",97.96%
359,Mehamehame,Flueggea neowawraea,E,30.8,"$374,870.40",97.97%
360,Hesperomannia arborescens (=Sci name),Hesperomannia arborescens,E,30.6,"$374,901.00",97.97%
360,"Joint-vetch, sensitive",Aeschynomene virginica,T,30.6,"$374,931.60",97.98%
362,"Amphianthus, little",Amphianthus pusillus,T,30.54,"$374,962.13",97.99%
363,"Mountain beaver, Point Arena",Aplodontia rufa nigra,E,30.5,"$374,992.63",98.00%
363,"Broadbill, Guam",Myiagra freycineti,E,30.5,"$375,023.13",98.01%
363,"Monarch, Tinian (old world flycatcher)",Monarcha takatsukasae,T,30.5,"$375,053.63",98.01%
363,"Swiftlet, Mariana gray (=vanikoro)",Aerodramus vanikorensis bartschi,E,30.5,"$375,084.13",98.02%
363,"White-eye, bridled",Zosterops conspicillatus conspicillatus,E,30.5,"$375,114.63",98.03%
368,"Gambusia, Big Bend",Gambusia gaigei,E,30.09,"$375,144.73",98.04%
369,"Creeper, Oahu (=alauwahio)",Paroreomyza maculata,E,29.62,"$375,174.35",98.05%
370,Haha,Cyanea koolauensis,E,29.6,"$375,203.95",98.05%
370,Lobelia oahuensis (=Sci name),Lobelia oahuensis,E,29.6,"$375,233.55",98.06%
372,"Iris, dwarf lake",Iris lacustris,T,29.4,"$375,262.95",98.07%
373,`Oha wai,Clermontia lindseyana,E,29.3,"$375,292.25",98.08%
374,"Shiner, Cape Fear",Notropis mekistocholas,E,29.1,"$375,321.35",98.08%
375,"Shrimp, Alabama cave",Palaemonias alabamae,E,29.0,"$375,350.35",98.09%
375,`Akoko,Chamaesyce rockii,E,29.0,"$375,379.35",98.10%
377,"Heelsplitter, inflated",Potamilus inflatus,T,28.86,"$375,408.21",98.11%
378,`Anaunau,Lepidium arbuscula,E,28.8,"$375,437.01",98.11%
379,"Spinymussel, James River (=Virginia)",Pleurobema collina,E,28.7,"$375,465.71",98.12%
380,Cyanea superba (=Sci name),Cyanea superba,E,28.6,"$375,494.31",98.13%
381,"Combshell, upland",Epioblasma metastriata,E,28.5,"$375,522.81",98.14%
382,"Spinymussel, Tar River",Elliptio steinstansana,E,28.39,"$375,551.20",98.14%
383,Sanicula mariversa (=Sci name),Sanicula mariversa,E,28.32,"$375,579.53",98.15%
384,"Springfish, Railroad Valley",Crenichthys nevadae,T,28.12,"$375,607.65",98.16%
385,"Cactus, Tobusch fishhook",Ancistrocactus tobuschii,E,28.1,"$375,635.75",98.17%
386,"Salamander, San Marcos",Eurycea nana,T,28.0,"$375,663.75",98.17%
386,"Salamander, Texas blind",Typhlomolge rathbuni,E,28.0,"$375,691.75",98.18%
386,"Beetle, Comal Springs dryopid",Stygoparnus comalensis,E,28.0,"$375,719.75",98.19%
386,"Beetle, Comal Springs riffle",Heterelmis comalensis,E,28.0,"$375,747.75",98.20%
386,"Amphipod, Peck's cave",Stygobromus pecki (=Stygonectes p.),E,28.0,"$375,775.75",98.20%
386,Daphnopsis hellerana (=Sci name),Daphnopsis hellerana,E,28.0,"$375,803.75",98.21%
392,Hedyotis parvula (=Sci name),Hedyotis parvula,E,27.82,"$375,831.57",98.22%
392,Na`ena`e,Dubautia herbstobatae,E,27.82,"$375,859.39",98.22%
394,Tetramolopium filiforme (=Sci name),Tetramolopium filiforme,E,27.72,"$375,887.12",98.23%
395,"Water-umbel, Huachuca",Lilaeopsis schaffneriana ssp. recurva,E,27.6,"$375,914.72",98.24%
396,"Warbler, nightingale reed",Acrocephalus luscinia,E,27.5,"$375,942.22",98.25%
397,"Pocketbook, fine-lined",Lampsilis altilis,T,27.31,"$375,969.53",98.25%
398,Schiedea hookeri (=Sci. name),Schiedea hookeri,E,27.3,"$375,996.83",98.26%
399,`Akoko,Euphorbia haeleeleana,E,27.2,"$376,024.03",98.27%
400,"Pearlymussel, Cumberland bean",Villosa trabalis,E,27.12,"$376,051.15",98.27%
401,"Logperch, Conasauga",Percina jenkinsi,E,26.95,"$376,078.10",98.28%
402,Diellia falcata (=Sci name),Diellia falcata,E,26.8,"$376,104.90",98.29%
403,"Snail, Morro shoulderband (=Banded dune)",Helminthoglypta walkeriana,E,26.5,"$376,131.40",98.30%
404,`Ohe `ohe,Tetraplasandra gymnocarpa,E,26.4,"$376,157.80",98.30%
405,"Campion, fringed",Silene polypetala,E,26.3,"$376,184.10",98.31%
406,"Hawk, Puerto Rican sharp-shinned",Accipiter striatus venator,E,26.2,"$376,210.30",98.32%
407,Alsinidendron obovatum (=Sci name),Alsinidendron obovatum,E,26.0,"$376,236.30",98.32%
408,Spermolepis hawaiiensis (=Sci name),Spermolepis hawaiiensis,E,25.9,"$376,262.20",98.33%
409,"Milk-vetch, Jesup's",Astragalus robbinsii var. jesupi,E,25.8,"$376,288.00",98.34%
410,"Butterfly, Myrtle's silverspot",Speyeria zerene myrtleae,E,25.31,"$376,313.30",98.34%
411,Ha`iwale,Cyrtandra dentata,E,25.3,"$376,338.60",98.35%
411,Schiedea nuttallii (=Sci. name),Schiedea nuttallii,E,25.3,"$376,363.90",98.36%
413,"Cactus, San Rafael",Pediocactus despainii,E,25.2,"$376,389.10",98.36%
413,Pauoa,Ctenitis squamigera,E,25.2,"$376,414.30",98.37%
415,"Chub, Hutton tui",Gila bicolor ssp.,T,25.0,"$376,439.30",98.38%
415,"Dace, Foskett speckled",Rhinichthys osculus ssp.,T,25.0,"$376,464.30",98.38%
417,"Dace, Moapa",Moapa coriacea,E,24.8,"$376,489.10",98.39%
418,"Meadowrue, Cooley's",Thalictrum cooleyi,E,24.7,"$376,513.80",98.40%
419,"Bat, Mexican long-nosed",Leptonycteris nivalis,E,24.6,"$376,538.40",98.40%
420,"Avens, spreading",Geum radiatum,E,24.5,"$376,562.90",98.41%
421,"Caracara, Audubon's crested",Polyborus plancus audubonii,T,24.4,"$376,587.30",98.41%
422,"Lizard, Island night",Xantusia riversiana,T,24.4,"$376,611.71",98.42%
423,"Darter, snail",Percina tanasi,T,24.35,"$376,636.06",98.43%
424,"Sandbur, agrimony or Kamanomano",Cenchrus agrimonioides,E,24.2,"$376,660.26",98.43%
425,"Salamander, Sonoran tiger",Ambystoma tigrinum stebbinsi,E,24.1,"$376,684.36",98.44%
425,"Chub, Owens tui",Gila bicolor snyderi,E,24.1,"$376,708.46",98.45%
427,"Gecko, Monito",Sphaerodactylus micropithecus,E,24.0,"$376,732.46",98.45%
427,"Pupfish, Leon Springs",Cyprinodon bovinus,E,24.0,"$376,756.46",98.46%
427,Nioi,Eugenia koolauensis,E,24.0,"$376,780.46",98.47%
430,"Lampmussel, Alabama (=Pearly mussel, Alabama",Lampsilis virescens,E,24.0,"$376,804.45",98.47%
431,"Mouse, southeastern beach",Peromyscus polionotus niveiventris,T,23.9,"$376,828.35",98.48%
432,"Pitcher-plant, mountain sweet",Sarracenia rubra ssp. jonesii,E,23.6,"$376,851.95",98.48%
433,"Pentachaeta, Lyon's",Pentachaeta lyonii,E,23.5,"$376,875.45",98.49%
433,"Spineflower, Ben Lomond",Chorizanthe pungens var. hartwegiana,E,23.5,"$376,898.95",98.50%
433,"Spineflower, Robust (incl. Scotts Valley)",Chorizanthe robusta (incl. vars. robusta & hartwe,E,23.5,"$376,922.45",98.50%
436,"Baccharis, Encinitis",Baccharis vanessae,T,23.4,"$376,945.85",98.51%
437,"Manzanita, Del Mar (=Costa Baja, =Eastwood's)",Arctostaphylos glandulosa ssp. crassifolia,E,22.4,"$376,968.25",98.51%
438,Tetramolopium lepidotum ssp. lepidotum (=Sci,Tetramolopium lepidotum ssp. lepidotum,E,22.39,"$376,990.65",98.52%
439,Uhiuhi,Caesalpinia kavaiense,E,21.9,"$377,012.55",98.53%
440,"Moccasinshell, Gulf",Medionidus penicillatus,E,21.82,"$377,034.36",98.53%
441,Harperella,Ptilimnium nodosum,E,21.79,"$377,056.15",98.54%
442,Phyllostegia hirsuta (=Sci. name),Phyllostegia hirsuta,E,21.7,"$377,077.85",98.54%
443,Haha,Cyanea grimesiana ssp. grimesiana,E,21.6,"$377,099.45",98.55%
444,Silene lanceolata (=Sci name),Silene lanceolata,E,21.24,"$377,120.70",98.55%
445,Haha,Cyanea acuminata,E,21.1,"$377,141.80",98.56%
445,Pteris lidgatei (=Sci name),Pteris lidgatei,E,21.1,"$377,162.90",98.56%
447,"Amphipod, Illinois cave",Gammarus acherondytes,E,20.8,"$377,183.70",98.57%
448,"Thistle, Sacramento Mountains",Cirsium vinaceum,T,20.6,"$377,204.30",98.58%
448,Viola oahuensis (=Sci. Name),Viola oahuensis,E,20.6,"$377,224.90",98.58%
450,"Dudleyea, Santa Monica Mountains",Dudleya cymosa ssp. ovatifolia,T,20.5,"$377,245.40",98.59%
450,"Milk-vetch, Braunton's",Astragalus brauntonii,E,20.5,"$377,265.90",98.59%
450,"Pinkroot, gentian",Spigelia gentianoides,E,20.5,"$377,286.40",98.60%
450,"Rhododendron, Chapman",Rhododendron chapmanii,E,20.5,"$377,306.90",98.60%
454,"Bladderpod, white",Lesquerella pallida,E,20.3,"$377,327.20",98.61%
455,"Pupfish, Owens",Cyprinodon radiosus,E,20.2,"$377,347.40",98.61%
456,"Pearlymussel, purple cat's paw",Epioblasma obliquata obliquata,E,20.0,"$377,367.40",98.62%
457,"Squirrel, Carolina northern flying",Glaucomys sabrinus coloratus,E,19.99,"$377,387.39",98.62%
458,"Combshell, southern (=penitent mussel)",Epioblasma penita,E,19.88,"$377,407.27",98.63%
459,"Shearwater, Newell's Townsend's (formerly Man",Puffinus auricularis newelli,T,19.81,"$377,427.08",98.63%
460,"Lupine, clover",Lupinus tidestromii,E,19.8,"$377,446.88",98.64%
460,"Spineflower, Sonoma",Chorizanthe valida,E,19.8,"$377,466.68",98.64%
462,Fanshell,Cyprogenia stegaria,E,19.7,"$377,486.38",98.65%
463,"Chub, spotfin (=turquoise shiner)",Cyprinella monacha,T,19.56,"$377,505.94",98.65%
464,"Lily, Minnesota trout",Erythronium propullans,E,19.52,"$377,525.46",98.66%
465,"Grasshopper, Zayante band-winged",Trimerotropis infantilis,E,19.5,"$377,544.96",98.66%
465,"Clarkia, Pismo",Clarkia speciosa ssp. immaculata,E,19.5,"$377,564.46",98.67%
465,"Dudleya, Conejo",Dudleya abramsii ssp. parva,T,19.5,"$377,583.96",98.67%
465,"Dudleya, Marcescent",Dudleya cymosa ssp. marcescens,T,19.5,"$377,603.46",98.68%
465,"Dudleya, Verity's",Dudleya verityi,E,19.5,"$377,622.96",98.69%
465,"Gilia, Monterey",Gilia tenuiflora ssp. arenaria,E,19.5,"$377,642.46",98.69%
465,"Manzanita, Morro",Arctostaphylos morroensis,T,19.5,"$377,661.96",98.70%
465,"Wallflower, Ben Lomond",Erysimum teretifolium,E,19.5,"$377,681.46",98.70%
465,"Cypress, Santa Cruz",Cupressus abramsiana,E,19.5,"$377,700.96",98.71%
474,"Orcutt grass, Greene's",Tuctoria greenei,E,19.3,"$377,720.26",98.71%
475,"Pigtoe, southern",Pleurobema georgianum,E,19.06,"$377,739.31",98.72%
476,"Toad, Puerto Rican crested",Peltophryne lemur,T,19.0,"$377,758.31",98.72%
476,"Phlox, Texas trailing",Phlox nivalis ssp. texensis,E,19.0,"$377,777.31",98.73%
476,Silene hawaiiensis (=Sci name),Silene hawaiiensis,T,19.0,"$377,796.31",98.73%
479,Alsinidendron trinerve (=Sci name),Alsinidendron trinerve,E,18.9,"$377,815.21",98.74%
480,"Bankclimber (mussel), purple",Elliptoideus sloatianus,T,18.82,"$377,834.03",98.74%
481,"Beetle, Puritan tiger",Cicindela puritana,T,18.65,"$377,852.68",98.75%
482,"Daisy, Maguire",Erigeron maguirei var. maguirei,E,18.6,"$377,871.28",98.75%
483,"Gerardia, sandplain",Agalinis acuta,E,18.56,"$377,889.83",98.75%
484,"Skullcap, large-flowered",Scutellaria montana,E,18.51,"$377,908.35",98.76%
485,Ha`iwale,Cyrtandra viridiflora,E,18.5,"$377,926.85",98.76%
486,"Turtle, ringed map (=sawback)",Graptemys oculifera,T,18.45,"$377,945.30",98.77%
487,"Mouse, Key Largo cotton",Peromyscus gossypinus allapaticola,E,18.3,"$377,963.60",98.77%
487,"Cactus, Unita Basin hookless",Sclerocactus glaucus,T,18.3,"$377,981.90",98.78%
487,"Orcutt grass, hairy (=pilose)",Orcuttia pilosa,E,18.3,"$378,000.20",98.78%
487,Rollandia crispa (=Sci name),Rollandia crispa,E,18.3,"$378,018.50",98.79%
487,"Spurge, Hoover's",Chamaesyce hooveri,T,18.3,"$378,036.80",98.79%
492,"`O`o, Kauai (=`o`o `a`a) (honeyeater)",Moho braccatus,E,18.2,"$378,055.00",98.80%
492,"Fleabane, Rhizome",Erigeron rhizomatus,T,18.2,"$378,073.20",98.80%
494,"Rail, light-footed clapper",Rallus longirostris levipes,E,18.14,"$378,091.34",98.81%
495,"Beetle, Hungerford's crawling water",Brychius hungerfordi,E,18.0,"$378,109.34",98.81%
495,"Skipper, Laguna Mountains",Pyrgus ruralis lagunae,E,18.0,"$378,127.34",98.82%
495,Haha,Cyanea (=Rollandia) st-johnii,E,18.0,"$378,145.34",98.82%
495,"Spineflower, Howell's",Chorizanthe howellii,E,18.0,"$378,163.34",98.83%
499,"Cactus, Brady pincushion",Pediocactus bradyi,E,17.9,"$378,181.24",98.83%
500,"Koki`o, Cooke's",Kokia cookei,E,17.8,"$378,199.04",98.84%
501,"Spiraea, Virginia",Spiraea virginiana,T,17.53,"$378,216.57",98.84%
502,"Bat, little Mariana fruit",Pteropus tokudae,E,17.5,"$378,234.07",98.84%
502,"Mallard, Mariana",Anas oustaleti,E,17.5,"$378,251.57",98.85%
502,"Lagu, Hyan",Serianthes nelsonii,E,17.5,"$378,269.07",98.85%
502,"Mountain balm, Indian Knob",Eriodictyon altissimum,E,17.5,"$378,286.57",98.86%
506,"Aster, Ruth's golden",Pityopsis ruthii,E,17.3,"$378,303.87",98.86%
507,Lysimachia maxima (=ternifolia) (=Sci. name),Lysimachia maxima (=tenrnifolia),E,17.1,"$378,320.97",98.87%
508,"Diellia , asplenium-leaved",Diellia erecta,E,17.03,"$378,338.00",98.87%
509,"Salamander, Cheat Mountain",Plethodon nettingi,T,16.87,"$378,354.87",98.88%
510,Liliwai,Acaena exigua,E,16.85,"$378,371.72",98.88%
511,"Hau kuahiwi, Hualalai",Hibiscadelphus hualalaiensis,E,16.8,"$378,388.52",98.89%
512,"Pink, swamp",Helonias bullata,T,16.75,"$378,405.27",98.89%
513,"Mussel, oyster",Epioblasma capsaeformis,E,16.66,"$378,421.92",98.89%
514,"Koki`o, Kaua`i",Kokia kauaiensis,E,16.6,"$378,438.52",98.90%
514,"Lobelia gaudichaudii ssp. koolauensis , (=Sci. na",Lobelia gaudichaudii var. koolauensis,E,16.6,"$378,455.12",98.90%
516,"Woodrat, Key Largo",Neotoma floridana smalli,E,16.5,"$378,471.62",98.91%
516,"Acornshell, southern",Epioblasma othcaloogensis,E,16.5,"$378,488.12",98.91%
516,"Silversword, Ka`u",Argyroxiphium kauense,E,16.5,"$378,504.62",98.92%
519,Ha`iwale,Cyrtandra subumbellata,E,16.4,"$378,521.02",98.92%
520,"Pearlshell, Louisiana",Margaritifera hembeli,T,16.32,"$378,537.34",98.92%
521,"Finch, Laysan (honeycreeper)",Telespyza cantans,E,16.3,"$378,553.64",98.93%
521,Haha,Cyanea remyi,E,16.3,"$378,569.94",98.93%
521,Hau kuahiwi,Hibiscadelphus woodii,E,16.3,"$378,586.24",98.94%
521,Koki`o (=hau-hele`ula or Hawaii tree cotton),Kokia drynarioides,E,16.3,"$378,602.54",98.94%
525,Phyllostegia kaalaensis (=Sci. name),Phyllostegia kaalaensis,E,16.1,"$378,618.64",98.95%
525,Phyllostegia parviflora (=Sci. name),Phyllostegia parviflora,E,16.1,"$378,634.74",98.95%
527,"Pennyroyal, Todsen's",Hedeoma todsenii,E,16.0,"$378,650.74",98.95%
527,Wawa`iole,Lycopodium nutans,E,16.0,"$378,666.74",98.96%
529,Hala pepe,Pleomele hawaiiensis,E,15.8,"$378,682.54",98.96%
529,"Bear-poppy, dwarf",Arctomecon humilis,E,15.8,"$378,698.34",98.97%
531,"Madtom, yellowfin",Noturus flavipinnis,T,15.76,"$378,714.10",98.97%
532,"Snail, tulotoma (=Alabama live-bearing)",Tulotoma magnifica,E,15.7,"$378,729.80",98.97%
532,"Ground-plum, Guthrie's",Astragalus bibullatus,E,15.7,"$378,745.50",98.98%
534,"Mussel, ring pink (=golf stick pearly)",Obovaria retusa,E,15.63,"$378,761.13",98.98%
535,"Bladderpod, kodachrome",Lesquerella tumulosa,E,15.6,"$378,776.73",98.99%
536,"`Akialoa, Kauai (honeycreeper)",Hemignathus procerus,E,15.5,"$378,792.23",98.99%
536,`O`u (honeycreeper),Psittirostra psittacea,E,15.5,"$378,807.73",98.99%
536,"Creeper, Molokai (=kakawahie)",Paroreomyza flammea,E,15.5,"$378,823.23",99.00%
536,"Finch, Nihoa (honeycreeper)",Telespyza ultima,E,15.5,"$378,838.73",99.00%
536,"Millerbird, Nihoa (old world warbler)",Acrocephalus familiaris kingi,E,15.5,"$378,854.23",99.01%
536,"Thrush, large Kauai",Myadestes myadestinus,E,15.5,"$378,869.73",99.01%
536,"Thrush, Molokai (=oloma`o)",Myadestes lanaiensis rutha,E,15.5,"$378,885.23",99.02%
536,`Oha,Delissea subcordata,E,15.5,"$378,900.73",99.02%
544,"Phyllostegia knudsenii , (=Sci. name)",Phyllostegia knudsenii,E,15.4,"$378,916.13",99.02%
545,Kauila,Colubrina oppositifolia,E,15.3,"$378,931.43",99.03%
545,Loulu,Pritchardia viscosa,E,15.3,"$378,946.73",99.03%
547,Opuhe,Urera kaalae,E,15.2,"$378,961.93",99.04%
548,Haha,Cyanea grimesiana spp. obatae,E,15.1,"$378,977.03",99.04%
548,Hesperomannia arbuscula (=Sci name),Hesperomannia arbuscula,E,15.1,"$378,992.13",99.04%
548,Phyllostegia mollis (=Sci name),Phyllostegia mollis,E,15.1,"$379,007.23",99.05%
551,"Sunflower, Schweinitz's",Helianthus schweinitzii,E,15.04,"$379,022.27",99.05%
552,Alani,Melicope lydgatei,E,15.0,"$379,037.27",99.05%
553,Kamakahala,Labordia cyrtandrae,E,14.8,"$379,052.07",99.06%
553,Mariscus pennatiformis (=Sci name),Mariscus pennatiformis,E,14.8,"$379,066.87",99.06%
553,Schiedea kaalae (=Sci name),Schiedea kaalae,E,14.8,"$379,081.67",99.07%
556,Pu`uka`a,Cyperus trachysanthos,E,14.6,"$379,096.27",99.07%
556,Diplazium molokaiense (=Sci name),Diplazium molokaiense,E,14.6,"$379,110.87",99.07%
558,`Akoko,Chamaesyce celastroides var. kaenana,E,14.5,"$379,125.37",99.08%
558,`Awiwi,Centaurium sebaeoides,E,14.5,"$379,139.87",99.08%
558,Aupaka,Isodendrion laurifolium,E,14.5,"$379,154.37",99.09%
558,Ma`oli`oli,Schiedea kealiae,E,14.5,"$379,168.87",99.09%
558,"Silversword, `Ahinahina Mauna Kea",Argyroxiphium sandwicense ssp. sandwicense,E,14.5,"$379,183.37",99.09%
563,"Pearlymussel, birdwing",Conradilla caelata,E,14.36,"$379,197.72",99.10%
564,"Bird's-beak, soft",Cordylanthus mollis ssp. mollis,E,14.3,"$379,212.02",99.10%
564,Ha`iwale,Cyrtandra polyantha,E,14.3,"$379,226.32",99.10%
564,Haha,Cyanea truncata,E,14.3,"$379,240.62",99.11%
567,Hau kuahiwi,Hibiscadelphus giffardianus,E,14.25,"$379,254.87",99.11%
568,Lobelia monostachya (=Sci. name),Lobelia monostachya,E,14.2,"$379,269.07",99.12%
568,Silene perlmanii (=Sci name),Silene perlmanii,E,14.2,"$379,283.27",99.12%
570,"Shrew, Dismal Swamp southeastern",Sorex longirostris fisheri,T,14.1,"$379,297.37",99.12%
570,"Darter, duskytail",Etheostoma (Catonotus) sp.,E,14.1,"$379,311.47",99.13%
570,"Arrowhead, bunched",Sagittaria fasciculata,E,14.1,"$379,325.57",99.13%
570,"Cactus, Knowlton",Pediocactus knowltonii,E,14.1,"$379,339.67",99.13%
570,Kamakahala,Labordia tinifolia var. wahiawaensis,E,14.1,"$379,353.77",99.14%
570,"Locoweed, Fassett's",Oxytropis campestris var. chartacea,T,14.1,"$379,367.87",99.14%
570,"Paintbrush, soft-leaved",Castilleja mollis,E,14.1,"$379,381.97",99.14%
570,"Popolo, ku mai (=Popolo, thorny)",Solanum incompletum,E,14.1,"$379,396.07",99.15%
570,Vigna o-wahuensis (=Sci name),Vigna o-wahuensis,E,14.1,"$379,410.17",99.15%
579,"Mouse, Choctawahatchee beach",Peromyscus polionotus allophrys,E,14.0,"$379,424.17",99.16%
579,"Turtle, Plymouth redbelly (=red-bellied)",Pseudemys rubriventris bangsi,E,14.0,"$379,438.17",99.16%
579,"Beetle, Coffin Cave mold",Batrisodes texanus,E,14.0,"$379,452.17",99.16%
579,"Beetle, Kretschmarr Cave mold",Texamaurops reddelli,E,14.0,"$379,466.17",99.17%
579,"Beetle, Tooth Cave ground",Rhadine persephone,E,14.0,"$379,480.17",99.17%
579,"Harvestman, Bee Creek Cave",Texella reddelli,E,14.0,"$379,494.17",99.17%
579,"Harvestman, Bone Cave",Texella reyesi,E,14.0,"$379,508.17",99.18%
579,"Pseudoscorpion, Tooth Cave",Microcreagris texana,E,14.0,"$379,522.17",99.18%
579,"Spider, Tooth Cave",Leptoneta myopica,E,14.0,"$379,536.17",99.19%
