,,53,,"Warbler (=wood), golden-",,E,,$0,,$0,,$0,,"$613,542",,"$613,542"
,,,,,,,,,,,,,,,,
,,,cheeked (Dendroica,,,,,,,,,,,,,
,,,,chrysoparia),,,,,,,,,,,,
,,71,,"Woodpecker, ivory-billed",,E,,"$431,286",,$0,,"$431,286",,$0,,"$431,286"
,,,,,,,,,,,,,,,,
,,,(Campephilus principalis),,,,,,,,,,,,,
,,26,,"Woodpecker, red-cockaded",,E,,"$2,563,762",,$0,,"$2,563,762",,"$42,000",,"$2,605,762"
,,,,,,,,,,,,,,,,
,,,(Picoides borealis),,,,,,,,,,,,,
Birds subtotal,,,,,,,,"$15,027,079",,"$221,719,000",,"$236,746,079",,"$1,322,139",,"$238,068,218"
,,,,,,,,,,,,,,,,
Reptiles,,75,,"Alligator, American (Alligator",,SAT,,$0,,"$325,000",,"$325,000",,$0,,"$325,000"
,,,mississippiensis),,,,,,,,,,,,,
,,52,,"Lizard, blunt-nosed leopard",,E,,"$90,625",,"$523,833",,"$614,458",,$0,,"$614,458"
,,,,,,,,,,,,,,,,
,,,(Gambelia silus),,,,,,,,,,,,,
,,66,,Plymouth Red-Bellied Turtle,,E,,$0,,$0,,$0,,"$500,000",,"$500,000"
,,,,,,,,,,,,,,,,
,,,(Pseudemys rubriventris bangsi),,,,,,,,,,,,,
,,89,,"Sea turtle, green (Chelonia",,E,,"$144,167",,$0,,"$144,167",,$0,,"$144,167"
,,,,,,,,,,,,,,,,
,,,"mydas) - FL, Mexico nesting",,,,,,,,,,,,,
,,,,pops.,,,,,,,,,,,,
,,115,,"Sea turtle, green (Chelonia",,T,,"$9,857",,$0,,"$9,857",,$0,,"$9,857"
,,,,,,,,,,,,,,,,
,,,mydas) - Except where,,,,,,,,,,,,,
,,,,endangered,,,,,,,,,,,,
,,45,,"Sea turtle, Kemp's ridley",,E,,"$913,692",,$0,,"$913,692",,$0,,"$913,692"
,,,,,,,,,,,,,,,,
,,,(Lepidochelys kempii),,,,,,,,,,,,,
,,89,,"Sea turtle, leatherback",,E,,"$144,167",,$0,,"$144,167",,$0,,"$144,167"
,,,,,,,,,,,,,,,,
,,,(Dermochelys coriacea),,,,,,,,,,,,,
